REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
1,htn_screened,71.1,65.5,76.7,Proportion,"71.1 (65.5, 76.7)",2892,,NA,Jammu & Kashmir,1,Kupwara
1,htn_disease,25,21.2,28.7,Proportion,"25 (21.2, 28.7)",2892,,NA,Jammu & Kashmir,1,Kupwara
1,htn_diagnosed,16.5,12.6,20.4,Proportion,"16.5 (12.6, 20.4)",2892,,NA,Jammu & Kashmir,1,Kupwara
1,htn_treated,10.8,7.8,13.7,Proportion,"10.8 (7.8, 13.7)",2892,,NA,Jammu & Kashmir,1,Kupwara
1,htn_controlled,10.6,7.1,14.1,Proportion,"10.6 (7.1, 14.1)",2892,,NA,Jammu & Kashmir,1,Kupwara
2,htn_screened,81,76.5,85.6,Proportion,"81 (76.5, 85.6)",2892,,NA,Jammu & Kashmir,1,Badgam
2,htn_disease,22.3,18.2,26.4,Proportion,"22.3 (18.2, 26.4)",2892,,NA,Jammu & Kashmir,1,Badgam
2,htn_diagnosed,11.9,9.2,14.6,Proportion,"11.9 (9.2, 14.6)",2892,,NA,Jammu & Kashmir,1,Badgam
2,htn_treated,8.3,5.9,10.7,Proportion,"8.3 (5.9, 10.7)",2892,,NA,Jammu & Kashmir,1,Badgam
2,htn_controlled,6.6,4.8,8.4,Proportion,"6.6 (4.8, 8.4)",2892,,NA,Jammu & Kashmir,1,Badgam
3,htn_screened,76.5,72.2,80.8,Proportion,"76.5 (72.2, 80.8)",2753,,NA,Ladakh,37,Leh
3,htn_disease,17.7,12.7,22.6,Proportion,"17.7 (12.7, 22.6)",2753,,NA,Ladakh,37,Leh
3,htn_diagnosed,11.1,7.7,14.5,Proportion,"11.1 (7.7, 14.5)",2753,,NA,Ladakh,37,Leh
3,htn_treated,4.6,3.2,6.1,Proportion,"4.6 (3.2, 6.1)",2753,,NA,Ladakh,37,Leh
3,htn_controlled,7.9,5.5,10.3,Proportion,"7.9 (5.5, 10.3)",2753,,NA,Ladakh,37,Leh
4,htn_screened,75,69.5,80.5,Proportion,"75 (69.5, 80.5)",2943,,NA,Ladakh,37,Kargil
4,htn_disease,33.7,27.2,40.2,Proportion,"33.7 (27.2, 40.2)",2943,,NA,Ladakh,37,Kargil
4,htn_diagnosed,23.6,16.7,30.6,Proportion,"23.6 (16.7, 30.6)",2943,,NA,Ladakh,37,Kargil
4,htn_treated,10.8,7.5,14,Proportion,"10.8 (7.5, 14)",2943,,NA,Ladakh,37,Kargil
4,htn_controlled,16.1,8.7,23.6,Proportion,"16.1 (8.7, 23.6)",2943,,NA,Ladakh,37,Kargil
5,htn_screened,74.6,67.5,81.7,Proportion,"74.6 (67.5, 81.7)",2860,,NA,Jammu & Kashmir,1,Punch
5,htn_disease,22.9,18.6,27.1,Proportion,"22.9 (18.6, 27.1)",2860,,NA,Jammu & Kashmir,1,Punch
5,htn_diagnosed,14.8,11.5,18.1,Proportion,"14.8 (11.5, 18.1)",2860,,NA,Jammu & Kashmir,1,Punch
5,htn_treated,10.2,6.9,13.5,Proportion,"10.2 (6.9, 13.5)",2860,,NA,Jammu & Kashmir,1,Punch
5,htn_controlled,7.8,5.5,10.2,Proportion,"7.8 (5.5, 10.2)",2860,,NA,Jammu & Kashmir,1,Punch
6,htn_screened,76,67.8,84.1,Proportion,"76 (67.8, 84.1)",2872,,NA,Jammu & Kashmir,1,Rajouri
6,htn_disease,19.7,14.7,24.7,Proportion,"19.7 (14.7, 24.7)",2872,,NA,Jammu & Kashmir,1,Rajouri
6,htn_diagnosed,7.8,5.9,9.7,Proportion,"7.8 (5.9, 9.7)",2872,,NA,Jammu & Kashmir,1,Rajouri
6,htn_treated,4.7,3.5,5.9,Proportion,"4.7 (3.5, 5.9)",2872,,NA,Jammu & Kashmir,1,Rajouri
6,htn_controlled,4,2.6,5.4,Proportion,"4 (2.6, 5.4)",2872,,NA,Jammu & Kashmir,1,Rajouri
