state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,residence,n5_state,zone
1,htn_screened,86.6,84.8,88.3,Proportion,"86.6 (84.8, 88.3)",12869,,NA,Total,Jammu & Kashmir,North
1,htn_diagnosed,50.8,48.2,53.5,Proportion,"50.8 (48.2, 53.5)",12869,,NA,Total,Jammu & Kashmir,North
2,htn_screened,82.7,81,84.5,Proportion,"82.7 (81, 84.5)",7532,,NA,Total,Himachal Pradesh,North
2,htn_diagnosed,43.3,40.6,45.9,Proportion,"43.3 (40.6, 45.9)",7532,,NA,Total,Himachal Pradesh,North
3,htn_screened,86,84.9,87.1,Proportion,"86 (84.9, 87.1)",22087,,NA,Total,Punjab,North
3,htn_diagnosed,43.8,42,45.7,Proportion,"43.8 (42, 45.7)",22087,,NA,Total,Punjab,North
4,htn_screened,85.8,80.8,90.9,Proportion,"85.8 (80.8, 90.9)",496,,NA,Total,Chandigarh,North
4,htn_diagnosed,38.8,29.7,48,Proportion,"38.8 (29.7, 48)",496,,NA,Total,Chandigarh,North
5,htn_screened,77.5,75.8,79.2,Proportion,"77.5 (75.8, 79.2)",9133,,NA,Total,Uttarakhand,Central
5,htn_diagnosed,33.3,31.4,35.3,Proportion,"33.3 (31.4, 35.3)",9133,,NA,Total,Uttarakhand,Central
6,htn_screened,80.9,79.8,82,Proportion,"80.9 (79.8, 82)",15482,,NA,Total,Haryana,North
6,htn_diagnosed,41.4,39.5,43.3,Proportion,"41.4 (39.5, 43.3)",15482,,NA,Total,Haryana,North
7,htn_screened,85,83.6,86.4,Proportion,"85 (83.6, 86.4)",7405,,NA,Total,Nct Of Delhi,North
7,htn_diagnosed,33.8,31.9,35.7,Proportion,"33.8 (31.9, 35.7)",7405,,NA,Total,Nct Of Delhi,North
8,htn_screened,69.2,67.7,70.6,Proportion,"69.2 (67.7, 70.6)",21604,,NA,Total,Rajasthan,North
8,htn_diagnosed,36,34,38,Proportion,"36 (34, 38)",21604,,NA,Total,Rajasthan,North
9,htn_screened,74.8,73.9,75.6,Proportion,"74.8 (73.9, 75.6)",53359,,NA,Total,Uttar Pradesh,Central
9,htn_diagnosed,37,35.6,38.3,Proportion,"37 (35.6, 38.3)",53359,,NA,Total,Uttar Pradesh,Central
10,htn_screened,80.1,79,81.1,Proportion,"80.1 (79, 81.1)",21347,,NA,Total,Bihar,East
10,htn_diagnosed,54.8,52.9,56.7,Proportion,"54.8 (52.9, 56.7)",21347,,NA,Total,Bihar,East
11,htn_screened,79.8,76.8,82.8,Proportion,"79.8 (76.8, 82.8)",3728,,NA,Total,Sikkim,North East
11,htn_diagnosed,34.6,31.5,37.7,Proportion,"34.6 (31.5, 37.7)",3728,,NA,Total,Sikkim,North East
12,htn_screened,70.2,68,72.3,Proportion,"70.2 (68, 72.3)",16508,,NA,Total,Arunachal Pradesh,North East
12,htn_diagnosed,30.5,28.3,32.7,Proportion,"30.5 (28.3, 32.7)",16508,,NA,Total,Arunachal Pradesh,North East
13,htn_screened,70.3,67.5,73.1,Proportion,"70.3 (67.5, 73.1)",7609,,NA,Total,Nagaland,North East
13,htn_diagnosed,36.9,33.8,39.9,Proportion,"36.9 (33.8, 39.9)",7609,,NA,Total,Nagaland,North East
14,htn_screened,88.1,86.9,89.4,Proportion,"88.1 (86.9, 89.4)",6446,,NA,Total,Manipur,North East
14,htn_diagnosed,39.1,37,41.1,Proportion,"39.1 (37, 41.1)",6446,,NA,Total,Manipur,North East
15,htn_screened,88.5,86.7,90.4,Proportion,"88.5 (86.7, 90.4)",4224,,NA,Total,Mizoram,North East
15,htn_diagnosed,43,39.1,46.8,Proportion,"43 (39.1, 46.8)",4224,,NA,Total,Mizoram,North East
16,htn_screened,83.6,81.5,85.7,Proportion,"83.6 (81.5, 85.7)",4332,,NA,Total,Tripura,North East
16,htn_diagnosed,48.3,45.3,51.2,Proportion,"48.3 (45.3, 51.2)",4332,,NA,Total,Tripura,North East
17,htn_screened,64.2,60.6,67.9,Proportion,"64.2 (60.6, 67.9)",5347,,NA,Total,Meghalaya,North East
17,htn_diagnosed,30.6,28,33.2,Proportion,"30.6 (28, 33.2)",5347,,NA,Total,Meghalaya,North East
18,htn_screened,79.3,78,80.5,Proportion,"79.3 (78, 80.5)",19092,,NA,Total,Assam,North East
18,htn_diagnosed,42.3,40.6,43.9,Proportion,"42.3 (40.6, 43.9)",19092,,NA,Total,Assam,North East
19,htn_screened,74.3,72.4,76.2,Proportion,"74.3 (72.4, 76.2)",11591,,NA,Total,West Bengal,East
19,htn_diagnosed,36.3,34.6,37.9,Proportion,"36.3 (34.6, 37.9)",11591,,NA,Total,West Bengal,East
20,htn_screened,68,66.2,69.8,Proportion,"68 (66.2, 69.8)",15424,,NA,Total,Jharkhand,East
20,htn_diagnosed,36.3,33.8,38.8,Proportion,"36.3 (33.8, 38.8)",15424,,NA,Total,Jharkhand,East
21,htn_screened,60.4,58.9,61.9,Proportion,"60.4 (58.9, 61.9)",19207,,NA,Total,Odisha,East
21,htn_diagnosed,32.7,31.1,34.4,Proportion,"32.7 (31.1, 34.4)",19207,,NA,Total,Odisha,East
22,htn_screened,65.2,63.4,67,Proportion,"65.2 (63.4, 67)",19497,,NA,Total,Chhattisgarh,Central
22,htn_diagnosed,21.3,19.7,22.9,Proportion,"21.3 (19.7, 22.9)",19497,,NA,Total,Chhattisgarh,Central
23,htn_screened,60.8,59.5,62.1,Proportion,"60.8 (59.5, 62.1)",29709,,NA,Total,Madhya Pradesh,Central
23,htn_diagnosed,23.8,22.6,25,Proportion,"23.8 (22.6, 25)",29709,,NA,Total,Madhya Pradesh,Central
24,htn_screened,65.3,63.5,67,Proportion,"65.3 (63.5, 67)",20276,,NA,Total,Gujarat,West
24,htn_diagnosed,27.7,26.3,29.2,Proportion,"27.7 (26.3, 29.2)",20276,,NA,Total,Gujarat,West
25,htn_screened,75.6,70.1,81.1,Proportion,"75.6 (70.1, 81.1)",1301,,NA,Total,Dadra & Nagar Haveli And Daman & Diu,West
25,htn_diagnosed,29.5,25.3,33.6,Proportion,"29.5 (25.3, 33.6)",1301,,NA,Total,Dadra & Nagar Haveli And Daman & Diu,West
27,htn_screened,69.7,68.1,71.4,Proportion,"69.7 (68.1, 71.4)",23246,,NA,Total,Maharashtra,West
27,htn_diagnosed,26.5,25.4,27.6,Proportion,"26.5 (25.4, 27.6)",23246,,NA,Total,Maharashtra,West
28,htn_screened,79.3,77.5,81,Proportion,"79.3 (77.5, 81)",8071,,NA,Total,Andhra Pradesh,South
28,htn_diagnosed,35.8,33.9,37.7,Proportion,"35.8 (33.9, 37.7)",8071,,NA,Total,Andhra Pradesh,South
29,htn_screened,70.6,68.3,72.9,Proportion,"70.6 (68.3, 72.9)",21444,,NA,Total,Karnataka,South
29,htn_diagnosed,30.5,28.6,32.4,Proportion,"30.5 (28.6, 32.4)",21444,,NA,Total,Karnataka,South
30,htn_screened,91.3,88.2,94.5,Proportion,"91.3 (88.2, 94.5)",1488,,NA,Total,Goa,West
30,htn_diagnosed,42.6,39.1,46.1,Proportion,"42.6 (39.1, 46.1)",1488,,NA,Total,Goa,West
31,htn_screened,95.5,92.9,98.1,Proportion,"95.5 (92.9, 98.1)",862,,NA,Total,Lakshadweep,South
31,htn_diagnosed,31.6,26.7,36.4,Proportion,"31.6 (26.7, 36.4)",862,,NA,Total,Lakshadweep,South
32,htn_screened,91,89.7,92.2,Proportion,"91 (89.7, 92.2)",11143,,NA,Total,Kerala,South
