variable,estimate,lci,uci,type,est_ci,sex
htn_screened,65.1,64.8,65.4,Proportion,"65.1 (64.8, 65.4)",NA
htn_disease,27.1,26.9,27.3,Proportion,"27.1 (26.9, 27.3)",NA
htn_diagnosed,11.4,11.2,11.5,Proportion,"11.4 (11.2, 11.5)",NA
htn_treated,6.6,6.5,6.7,Proportion,"6.6 (6.5, 6.7)",NA
htn_controlled,6.3,6.2,6.4,Proportion,"6.3 (6.2, 6.4)",NA
htn_screened,70.7,70.4,71.1,Proportion,"70.7 (70.4, 71.1)",Female
htn_disease,24.9,24.7,25.1,Proportion,"24.9 (24.7, 25.1)",Female
htn_diagnosed,12.1,11.9,12.3,Proportion,"12.1 (11.9, 12.3)",Female
htn_treated,6.7,6.6,6.8,Proportion,"6.7 (6.6, 6.8)",Female
htn_controlled,7.2,7.1,7.4,Proportion,"7.2 (7.1, 7.4)",Female
htn_screened,59.1,58.8,59.5,Proportion,"59.1 (58.8, 59.5)",Male
htn_disease,29.5,29.3,29.8,Proportion,"29.5 (29.3, 29.8)",Male
htn_diagnosed,10.6,10.4,10.8,Proportion,"10.6 (10.4, 10.8)",Male
htn_treated,6.5,6.3,6.6,Proportion,"6.5 (6.3, 6.6)",Male
htn_controlled,5.3,5.2,5.5,Proportion,"5.3 (5.2, 5.5)",Male
