state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,residence,n5_state,zone
1,htn_unscreened,13.4,11.7,15.2,Proportion,"13.4 (11.7, 15.2)",12869,,NA,Total,Jammu & Kashmir,North
1,htn_undiagnosed,49.2,46.5,51.8,Proportion,"49.2 (46.5, 51.8)",12869,,NA,Total,Jammu & Kashmir,North
2,htn_unscreened,17.3,15.5,19,Proportion,"17.3 (15.5, 19)",7532,,NA,Total,Himachal Pradesh,North
2,htn_undiagnosed,56.7,54.1,59.4,Proportion,"56.7 (54.1, 59.4)",7532,,NA,Total,Himachal Pradesh,North
3,htn_unscreened,14,12.9,15.1,Proportion,"14 (12.9, 15.1)",22087,,NA,Total,Punjab,North
3,htn_undiagnosed,56.2,54.3,58,Proportion,"56.2 (54.3, 58)",22087,,NA,Total,Punjab,North
4,htn_unscreened,14.2,9.1,19.2,Proportion,"14.2 (9.1, 19.2)",496,,NA,Total,Chandigarh,North
4,htn_undiagnosed,61.2,52,70.3,Proportion,"61.2 (52, 70.3)",496,,NA,Total,Chandigarh,North
5,htn_unscreened,22.5,20.8,24.2,Proportion,"22.5 (20.8, 24.2)",9133,,NA,Total,Uttarakhand,Central
5,htn_undiagnosed,66.7,64.7,68.6,Proportion,"66.7 (64.7, 68.6)",9133,,NA,Total,Uttarakhand,Central
6,htn_unscreened,19.1,18,20.2,Proportion,"19.1 (18, 20.2)",15482,,NA,Total,Haryana,North
6,htn_undiagnosed,58.6,56.7,60.5,Proportion,"58.6 (56.7, 60.5)",15482,,NA,Total,Haryana,North
7,htn_unscreened,15,13.6,16.4,Proportion,"15 (13.6, 16.4)",7405,,NA,Total,Nct Of Delhi,North
7,htn_undiagnosed,66.2,64.3,68.1,Proportion,"66.2 (64.3, 68.1)",7405,,NA,Total,Nct Of Delhi,North
8,htn_unscreened,30.8,29.4,32.3,Proportion,"30.8 (29.4, 32.3)",21604,,NA,Total,Rajasthan,North
8,htn_undiagnosed,64,62,66,Proportion,"64 (62, 66)",21604,,NA,Total,Rajasthan,North
9,htn_unscreened,25.2,24.4,26.1,Proportion,"25.2 (24.4, 26.1)",53359,,NA,Total,Uttar Pradesh,Central
9,htn_undiagnosed,63,61.7,64.4,Proportion,"63 (61.7, 64.4)",53359,,NA,Total,Uttar Pradesh,Central
10,htn_unscreened,19.9,18.9,21,Proportion,"19.9 (18.9, 21)",21347,,NA,Total,Bihar,East
10,htn_undiagnosed,45.2,43.3,47.1,Proportion,"45.2 (43.3, 47.1)",21347,,NA,Total,Bihar,East
