strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification,residence
Female,bmi,22.7,22.7,22.8,Continuous,NA,"22.7 (22.7, 22.8)",609503,sex,Total
Female,age,41.6,41.6,41.7,Continuous,NA,"41.6 (41.6, 41.7)",889507,sex,Total
Female,sbp,120.3,120.2,120.4,Continuous,NA,"120.3 (120.2, 120.4)",889507,sex,Total
Female,dbp,79.7,79.7,79.8,Continuous,NA,"79.7 (79.7, 79.8)",889507,sex,Total
Male,bmi,22.8,22.8,22.9,Continuous,NA,"22.8 (22.8, 22.9)",88148,sex,Total
Male,age,42.1,42,42.2,Continuous,NA,"42.1 (42, 42.2)",801602,sex,Total
Male,sbp,124.6,124.5,124.7,Continuous,NA,"124.6 (124.5, 124.7)",801602,sex,Total
Male,dbp,81.7,81.6,81.7,Continuous,NA,"81.7 (81.6, 81.7)",801602,sex,Total
Female,highwc,43.6,43.3,44,Proportion,NA,"43.6 (43.3, 44)",609945,sex,Total
Female,htn,27.2,27,27.4,Proportion,NA,"27.2 (27, 27.4)",889507,sex,Total
Female,highbp,20.2,20,20.4,Proportion,NA,"20.2 (20, 20.4)",889507,sex,Total
Female,diaghtn,40.8,40.3,41.4,Proportion,NA,"40.8 (40.3, 41.4)",107344,sex,Total
Female,htn_screened,70.2,69.9,70.6,Proportion,NA,"70.2 (69.9, 70.6)",889507,sex,Total
Female,htn_disease,27.2,27,27.4,Proportion,NA,"27.2 (27, 27.4)",889507,sex,Total
Female,htn_diagnosed,12.6,12.5,12.8,Proportion,NA,"12.6 (12.5, 12.8)",889507,sex,Total
Female,htn_treated,7.3,7.2,7.4,Proportion,NA,"7.3 (7.2, 7.4)",889507,sex,Total
Female,htn_controlled,7.5,7.3,7.6,Proportion,NA,"7.5 (7.3, 7.6)",889507,sex,Total
Male,highwc,14.7,14.3,15.2,Proportion,NA,"14.7 (14.3, 15.2)",88256,sex,Total
Male,htn,28.4,28.2,28.7,Proportion,NA,"28.4 (28.2, 28.7)",801602,sex,Total
Male,highbp,24,23.8,24.2,Proportion,NA,"24 (23.8, 24.2)",801602,sex,Total
Male,diaghtn,46.8,46.2,47.4,Proportion,NA,"46.8 (46.2, 47.4)",71984,sex,Total
Male,htn_screened,56.6,56.3,57,Proportion,NA,"56.6 (56.3, 57)",801602,sex,Total
Male,htn_disease,28.4,28.2,28.7,Proportion,NA,"28.4 (28.2, 28.7)",801602,sex,Total
Male,htn_diagnosed,9.1,9,9.3,Proportion,NA,"9.1 (9, 9.3)",801602,sex,Total
Male,htn_treated,5.4,5.3,5.5,Proportion,NA,"5.4 (5.3, 5.5)",801602,sex,Total
Male,htn_controlled,4.8,4.7,5,Proportion,NA,"4.8 (4.7, 5)",801602,sex,Total
Female,age_category,50.1,49.9,50.2,Grouped,18-39,"50.1 (49.9, 50.2)",889507,sex,Total
Female,age_category,39.4,39.2,39.5,Grouped,40-64,"39.4 (39.2, 39.5)",889507,sex,Total
Female,age_category,10.6,10.5,10.7,Grouped,65 plus,"10.6 (10.5, 10.7)",889507,sex,Total
Male,age_category,49.1,48.9,49.3,Grouped,18-39,"49.1 (48.9, 49.3)",801602,sex,Total
Male,age_category,38.7,38.6,38.9,Grouped,40-64,"38.7 (38.6, 38.9)",801602,sex,Total
Male,age_category,12.2,12.1,12.3,Grouped,65 plus,"12.2 (12.1, 12.3)",801602,sex,Total
Female,age_category10,28.8,28.7,29,Grouped,"[18,30)","28.8 (28.7, 29)",889507,sex,Total
Female,age_category10,21.2,21.1,21.4,Grouped,"[30,40)","21.2 (21.1, 21.4)",889507,sex,Total
Female,age_category10,18.3,18.2,18.4,Grouped,"[40,50)","18.3 (18.2, 18.4)",889507,sex,Total
Female,age_category10,14.6,14.5,14.7,Grouped,"[50,60)","14.6 (14.5, 14.7)",889507,sex,Total
Female,age_category10,10.9,10.8,11,Grouped,"[60,70)","10.9 (10.8, 11)",889507,sex,Total
Female,age_category10,4.3,4.3,4.4,Grouped,"[70,80)","4.3 (4.3, 4.4)",889507,sex,Total
Female,age_category10,1.8,1.8,1.8,Grouped,"[80,100]","1.8 (1.8, 1.8)",889507,sex,Total
Male,age_category10,28.4,28.2,28.6,Grouped,"[18,30)","28.4 (28.2, 28.6)",801602,sex,Total
Male,age_category10,20.6,20.5,20.8,Grouped,"[30,40)","20.6 (20.5, 20.8)",801602,sex,Total
Male,age_category10,17.7,17.6,17.8,Grouped,"[40,50)","17.7 (17.6, 17.8)",801602,sex,Total
Male,age_category10,14.1,14,14.2,Grouped,"[50,60)","14.1 (14, 14.2)",801602,sex,Total
Male,age_category10,12.1,11.9,12.2,Grouped,"[60,70)","12.1 (11.9, 12.2)",801602,sex,Total
Male,age_category10,5.2,5.2,5.3,Grouped,"[70,80)","5.2 (5.2, 5.3)",801602,sex,Total
Male,age_category10,1.8,1.7,1.8,Grouped,"[80,100]","1.8 (1.7, 1.8)",801602,sex,Total
Female,age_category5,5.1,5,5.1,Grouped,"[15,20)","5.1 (5, 5.1)",889507,sex,Total
Female,age_category5,11.8,11.7,11.9,Grouped,"[20,25)","11.8 (11.7, 11.9)",889507,sex,Total
Female,age_category5,11.9,11.8,12,Grouped,"[25,30)","11.9 (11.8, 12)",889507,sex,Total
Female,age_category5,10.7,10.6,10.8,Grouped,"[30,35)","10.7 (10.6, 10.8)",889507,sex,Total
Female,age_category5,10.6,10.5,10.7,Grouped,"[35,40)","10.6 (10.5, 10.7)",889507,sex,Total
Female,age_category5,9,8.9,9,Grouped,"[40,45)","9 (8.9, 9)",889507,sex,Total
Female,age_category5,9.4,9.3,9.4,Grouped,"[45,50)","9.4 (9.3, 9.4)",889507,sex,Total
Female,age_category5,7.3,7.2,7.4,Grouped,"[50,55)","7.3 (7.2, 7.4)",889507,sex,Total
Female,age_category5,7.3,7.2,7.4,Grouped,"[55,60)","7.3 (7.2, 7.4)",889507,sex,Total
Female,age_category5,6.4,6.4,6.5,Grouped,"[60,65)","6.4 (6.4, 6.5)",889507,sex,Total
Female,age_category5,4.5,4.4,4.5,Grouped,"[65,70)","4.5 (4.4, 4.5)",889507,sex,Total
Female,age_category5,2.8,2.8,2.9,Grouped,"[70,75)","2.8 (2.8, 2.9)",889507,sex,Total
Female,age_category5,1.5,1.5,1.5,Grouped,"[75,80)","1.5 (1.5, 1.5)",889507,sex,Total
Female,age_category5,1,0.9,1,Grouped,"[80,85)","1 (0.9, 1)",889507,sex,Total
Female,age_category5,0.5,0.4,0.5,Grouped,"[85,90)","0.5 (0.4, 0.5)",889507,sex,Total
Female,age_category5,0.2,0.2,0.2,Grouped,"[90,95)","0.2 (0.2, 0.2)",889507,sex,Total
Female,age_category5,0.1,0.1,0.1,Grouped,"[95,100]","0.1 (0.1, 0.1)",889507,sex,Total
Male,age_category5,5.3,5.3,5.4,Grouped,"[15,20)","5.3 (5.3, 5.4)",801602,sex,Total
Male,age_category5,11.7,11.5,11.8,Grouped,"[20,25)","11.7 (11.5, 11.8)",801602,sex,Total
Male,age_category5,11.4,11.3,11.5,Grouped,"[25,30)","11.4 (11.3, 11.5)",801602,sex,Total
Male,age_category5,10.4,10.3,10.5,Grouped,"[30,35)","10.4 (10.3, 10.5)",801602,sex,Total
Male,age_category5,10.2,10.1,10.3,Grouped,"[35,40)","10.2 (10.1, 10.3)",801602,sex,Total
Male,age_category5,8.7,8.6,8.8,Grouped,"[40,45)","8.7 (8.6, 8.8)",801602,sex,Total
Male,age_category5,9,8.9,9.1,Grouped,"[45,50)","9 (8.9, 9.1)",801602,sex,Total
Male,age_category5,7.3,7.2,7.4,Grouped,"[50,55)","7.3 (7.2, 7.4)",801602,sex,Total
Male,age_category5,6.8,6.7,6.9,Grouped,"[55,60)","6.8 (6.7, 6.9)",801602,sex,Total
Male,age_category5,6.9,6.8,7,Grouped,"[60,65)","6.9 (6.8, 7)",801602,sex,Total
