state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,residence,n5_state,zone
1,htn_screened,89.8,88.3,91.4,Proportion,"89.8 (88.3, 91.4)",12900,,NA,Total,Jammu & Kashmir,North
1,htn_diagnosed,55.9,53.3,58.5,Proportion,"55.9 (53.3, 58.5)",12900,,NA,Total,Jammu & Kashmir,North
2,htn_screened,87,85.7,88.3,Proportion,"87 (85.7, 88.3)",7551,,NA,Total,Himachal Pradesh,North
2,htn_diagnosed,49.4,47,51.8,Proportion,"49.4 (47, 51.8)",7551,,NA,Total,Himachal Pradesh,North
3,htn_screened,88.5,87.5,89.5,Proportion,"88.5 (87.5, 89.5)",22123,,NA,Total,Punjab,North
3,htn_diagnosed,46.6,44.9,48.2,Proportion,"46.6 (44.9, 48.2)",22123,,NA,Total,Punjab,North
4,htn_screened,88.8,84.4,93.2,Proportion,"88.8 (84.4, 93.2)",497,,NA,Total,Chandigarh,North
4,htn_diagnosed,42,33.9,50,Proportion,"42 (33.9, 50)",497,,NA,Total,Chandigarh,North
5,htn_screened,79.7,78.1,81.2,Proportion,"79.7 (78.1, 81.2)",9152,,NA,Total,Uttarakhand,Central
5,htn_diagnosed,37.1,35.1,39.1,Proportion,"37.1 (35.1, 39.1)",9152,,NA,Total,Uttarakhand,Central
6,htn_screened,83.1,82.1,84.1,Proportion,"83.1 (82.1, 84.1)",15528,,NA,Total,Haryana,North
6,htn_diagnosed,43.6,41.9,45.3,Proportion,"43.6 (41.9, 45.3)",15528,,NA,Total,Haryana,North
7,htn_screened,87.2,86,88.4,Proportion,"87.2 (86, 88.4)",7420,,NA,Total,Nct Of Delhi,North
7,htn_diagnosed,37.2,35.2,39.1,Proportion,"37.2 (35.2, 39.1)",7420,,NA,Total,Nct Of Delhi,North
8,htn_screened,71.4,70,72.8,Proportion,"71.4 (70, 72.8)",21678,,NA,Total,Rajasthan,North
8,htn_diagnosed,37.2,35.3,39,Proportion,"37.2 (35.3, 39)",21678,,NA,Total,Rajasthan,North
9,htn_screened,75.9,75.1,76.8,Proportion,"75.9 (75.1, 76.8)",53576,,NA,Total,Uttar Pradesh,Central
9,htn_diagnosed,36.9,35.7,38.1,Proportion,"36.9 (35.7, 38.1)",53576,,NA,Total,Uttar Pradesh,Central
10,htn_screened,80.5,79.5,81.5,Proportion,"80.5 (79.5, 81.5)",21434,,NA,Total,Bihar,East
10,htn_diagnosed,53.8,52,55.5,Proportion,"53.8 (52, 55.5)",21434,,NA,Total,Bihar,East
11,htn_screened,81.5,78.7,84.3,Proportion,"81.5 (78.7, 84.3)",3737,,NA,Total,Sikkim,North East
