state,residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,zone
1,Rural,htn_screened,90,88.3,91.7,Proportion,"90 (88.3, 91.7)",10592,,NA,Jammu & Kashmir,North
1,Rural,htn_diagnosed,51.8,48.9,54.6,Proportion,"51.8 (48.9, 54.6)",10592,,NA,Jammu & Kashmir,North
1,Urban,htn_screened,88.5,84.8,92.1,Proportion,"88.5 (84.8, 92.1)",2618,,NA,Jammu & Kashmir,North
1,Urban,htn_diagnosed,61.6,56.5,66.7,Proportion,"61.6 (56.5, 66.7)",2618,,NA,Jammu & Kashmir,North
2,Rural,htn_screened,86.7,85.3,88,Proportion,"86.7 (85.3, 88)",6960,,NA,Himachal Pradesh,North
2,Rural,htn_diagnosed,48.3,45.9,50.7,Proportion,"48.3 (45.9, 50.7)",6960,,NA,Himachal Pradesh,North
2,Urban,htn_screened,90.8,87.7,93.8,Proportion,"90.8 (87.7, 93.8)",661,,NA,Himachal Pradesh,North
2,Urban,htn_diagnosed,52.9,45,60.8,Proportion,"52.9 (45, 60.8)",661,,NA,Himachal Pradesh,North
3,Rural,htn_screened,87.1,85.9,88.3,Proportion,"87.1 (85.9, 88.3)",16117,,NA,Punjab,North
3,Rural,htn_diagnosed,44.5,42.6,46.4,Proportion,"44.5 (42.6, 46.4)",16117,,NA,Punjab,North
3,Urban,htn_screened,90.5,88.8,92.2,Proportion,"90.5 (88.8, 92.2)",6735,,NA,Punjab,North
3,Urban,htn_diagnosed,45.9,43.1,48.7,Proportion,"45.9 (43.1, 48.7)",6735,,NA,Punjab,North
4,Rural,htn_screened,95.2,95.2,95.2,Proportion,"95.2 (95.2, 95.2)",21,,NA,Chandigarh,North
4,Rural,htn_diagnosed,19,19,19,Proportion,"19 (19, 19)",21,,NA,Chandigarh,North
4,Urban,htn_screened,89.6,84.9,94.2,Proportion,"89.6 (84.9, 94.2)",487,,NA,Chandigarh,North
4,Urban,htn_diagnosed,41.7,33.5,49.9,Proportion,"41.7 (33.5, 49.9)",487,,NA,Chandigarh,North
5,Rural,htn_screened,76.7,75,78.4,Proportion,"76.7 (75, 78.4)",7535,,NA,Uttarakhand,Central
5,Rural,htn_diagnosed,33.6,31.6,35.6,Proportion,"33.6 (31.6, 35.6)",7535,,NA,Uttarakhand,Central
5,Urban,htn_screened,84.9,81.8,88,Proportion,"84.9 (81.8, 88)",1858,,NA,Uttarakhand,Central
5,Urban,htn_diagnosed,42.9,38.7,47.2,Proportion,"42.9 (38.7, 47.2)",1858,,NA,Uttarakhand,Central
