state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,residence,n5_state,zone
1,htn_unscreened,10.2,8.6,11.7,Proportion,"10.2 (8.6, 11.7)",12869,,NA,Total,Jammu & Kashmir,North
1,htn_undiagnosed,44,41.4,46.6,Proportion,"44 (41.4, 46.6)",12869,,NA,Total,Jammu & Kashmir,North
2,htn_unscreened,12.8,11.5,14.1,Proportion,"12.8 (11.5, 14.1)",7532,,NA,Total,Himachal Pradesh,North
2,htn_undiagnosed,50.4,48.1,52.8,Proportion,"50.4 (48.1, 52.8)",7532,,NA,Total,Himachal Pradesh,North
3,htn_unscreened,11.5,10.5,12.5,Proportion,"11.5 (10.5, 12.5)",22087,,NA,Total,Punjab,North
3,htn_undiagnosed,53.4,51.7,55,Proportion,"53.4 (51.7, 55)",22087,,NA,Total,Punjab,North
4,htn_unscreened,11.2,6.8,15.7,Proportion,"11.2 (6.8, 15.7)",496,,NA,Total,Chandigarh,North
4,htn_undiagnosed,58,49.9,66,Proportion,"58 (49.9, 66)",496,,NA,Total,Chandigarh,North
5,htn_unscreened,20.4,18.8,21.9,Proportion,"20.4 (18.8, 21.9)",9133,,NA,Total,Uttarakhand,Central
5,htn_undiagnosed,62.8,60.8,64.8,Proportion,"62.8 (60.8, 64.8)",9133,,NA,Total,Uttarakhand,Central
6,htn_unscreened,16.9,15.9,17.8,Proportion,"16.9 (15.9, 17.8)",15482,,NA,Total,Haryana,North
6,htn_undiagnosed,56.3,54.6,58,Proportion,"56.3 (54.6, 58)",15482,,NA,Total,Haryana,North
7,htn_unscreened,12.8,11.6,14,Proportion,"12.8 (11.6, 14)",7405,,NA,Total,Nct Of Delhi,North
7,htn_undiagnosed,62.7,60.8,64.7,Proportion,"62.7 (60.8, 64.7)",7405,,NA,Total,Nct Of Delhi,North
8,htn_unscreened,28.5,27.2,29.9,Proportion,"28.5 (27.2, 29.9)",21604,,NA,Total,Rajasthan,North
8,htn_undiagnosed,62.7,60.8,64.6,Proportion,"62.7 (60.8, 64.6)",21604,,NA,Total,Rajasthan,North
9,htn_unscreened,24,23.2,24.9,Proportion,"24 (23.2, 24.9)",53359,,NA,Total,Uttar Pradesh,Central
9,htn_undiagnosed,63,61.8,64.2,Proportion,"63 (61.8, 64.2)",53359,,NA,Total,Uttar Pradesh,Central
10,htn_unscreened,19.4,18.5,20.4,Proportion,"19.4 (18.5, 20.4)",21347,,NA,Total,Bihar,East
10,htn_undiagnosed,46,44.2,47.8,Proportion,"46 (44.2, 47.8)",21347,,NA,Total,Bihar,East
11,htn_unscreened,18.4,15.5,21.2,Proportion,"18.4 (15.5, 21.2)",3728,,NA,Total,Sikkim,North East
11,htn_undiagnosed,62.9,59.5,66.2,Proportion,"62.9 (59.5, 66.2)",3728,,NA,Total,Sikkim,North East
12,htn_unscreened,29.8,27.8,31.9,Proportion,"29.8 (27.8, 31.9)",16508,,NA,Total,Arunachal Pradesh,North East
12,htn_undiagnosed,69.4,67.3,71.5,Proportion,"69.4 (67.3, 71.5)",16508,,NA,Total,Arunachal Pradesh,North East
13,htn_unscreened,28.4,25.5,31.4,Proportion,"28.4 (25.5, 31.4)",7609,,NA,Total,Nagaland,North East
13,htn_undiagnosed,61.2,58,64.3,Proportion,"61.2 (58, 64.3)",7609,,NA,Total,Nagaland,North East
14,htn_unscreened,9.7,8.7,10.8,Proportion,"9.7 (8.7, 10.8)",6446,,NA,Total,Manipur,North East
14,htn_undiagnosed,55.3,53.2,57.4,Proportion,"55.3 (53.2, 57.4)",6446,,NA,Total,Manipur,North East
15,htn_unscreened,10.2,8.4,11.9,Proportion,"10.2 (8.4, 11.9)",4224,,NA,Total,Mizoram,North East
15,htn_undiagnosed,53.7,49.6,57.8,Proportion,"53.7 (49.6, 57.8)",4224,,NA,Total,Mizoram,North East
16,htn_unscreened,14.5,12.4,16.5,Proportion,"14.5 (12.4, 16.5)",4332,,NA,Total,Tripura,North East
16,htn_undiagnosed,47.9,44.7,51,Proportion,"47.9 (44.7, 51)",4332,,NA,Total,Tripura,North East
17,htn_unscreened,34.9,30.8,39,Proportion,"34.9 (30.8, 39)",5347,,NA,Total,Meghalaya,North East
17,htn_undiagnosed,68.8,66,71.5,Proportion,"68.8 (66, 71.5)",5347,,NA,Total,Meghalaya,North East
