state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,residence,n5_state,zone
1,htn_screened,74,72.5,75.4,Proportion,"74 (72.5, 75.4)",54527,,NA,Total,Jammu & Kashmir,North
1,htn_disease,24.2,23.2,25.1,Proportion,"24.2 (23.2, 25.1)",54527,,NA,Total,Jammu & Kashmir,North
1,htn_diagnosed,13.5,12.8,14.3,Proportion,"13.5 (12.8, 14.3)",54527,,NA,Total,Jammu & Kashmir,North
1,htn_treated,8.9,8.4,9.5,Proportion,"8.9 (8.4, 9.5)",54527,,NA,Total,Jammu & Kashmir,North
1,htn_controlled,4.1,3.7,4.5,Proportion,"4.1 (3.7, 4.5)",54527,,NA,Total,Jammu & Kashmir,North
2,htn_screened,75.6,74.1,77,Proportion,"75.6 (74.1, 77)",27459,,NA,Total,Himachal Pradesh,North
2,htn_disease,28.4,27.4,29.5,Proportion,"28.4 (27.4, 29.5)",27459,,NA,Total,Himachal Pradesh,North
2,htn_diagnosed,14.1,13.2,14.9,Proportion,"14.1 (13.2, 14.9)",27459,,NA,Total,Himachal Pradesh,North
2,htn_treated,8.7,8.1,9.3,Proportion,"8.7 (8.1, 9.3)",27459,,NA,Total,Himachal Pradesh,North
2,htn_controlled,4.2,3.8,4.7,Proportion,"4.2 (3.8, 4.7)",27459,,NA,Total,Himachal Pradesh,North
3,htn_screened,80.4,79.3,81.4,Proportion,"80.4 (79.3, 81.4)",51932,,NA,Total,Punjab,North
3,htn_disease,42.7,41.8,43.7,Proportion,"42.7 (41.8, 43.7)",51932,,NA,Total,Punjab,North
3,htn_diagnosed,19.9,19,20.8,Proportion,"19.9 (19, 20.8)",51932,,NA,Total,Punjab,North
3,htn_treated,8.9,8.5,9.3,Proportion,"8.9 (8.5, 9.3)",51932,,NA,Total,Punjab,North
3,htn_controlled,3.2,2.9,3.4,Proportion,"3.2 (2.9, 3.4)",51932,,NA,Total,Punjab,North
4,htn_screened,80.6,75,86.3,Proportion,"80.6 (75, 86.3)",1418,,NA,Total,Chandigarh,North
4,htn_disease,35.1,31.6,38.6,Proportion,"35.1 (31.6, 38.6)",1418,,NA,Total,Chandigarh,North
4,htn_diagnosed,14.7,11.1,18.4,Proportion,"14.7 (11.1, 18.4)",1418,,NA,Total,Chandigarh,North
4,htn_treated,8.2,5.8,10.5,Proportion,"8.2 (5.8, 10.5)",1418,,NA,Total,Chandigarh,North
4,htn_controlled,3.6,2.3,4.9,Proportion,"3.6 (2.3, 4.9)",1418,,NA,Total,Chandigarh,North
5,htn_screened,70.4,68.9,71.9,Proportion,"70.4 (68.9, 71.9)",28825,,NA,Total,Uttarakhand,Central
5,htn_disease,33,31.9,34.2,Proportion,"33 (31.9, 34.2)",28825,,NA,Total,Uttarakhand,Central
5,htn_diagnosed,12.3,11.4,13.1,Proportion,"12.3 (11.4, 13.1)",28825,,NA,Total,Uttarakhand,Central
5,htn_treated,6.4,5.8,7.1,Proportion,"6.4 (5.8, 7.1)",28825,,NA,Total,Uttarakhand,Central
5,htn_controlled,2.5,2.1,2.8,Proportion,"2.5 (2.1, 2.8)",28825,,NA,Total,Uttarakhand,Central
6,htn_screened,72.3,71.3,73.3,Proportion,"72.3 (71.3, 73.3)",50875,,NA,Total,Haryana,North
6,htn_disease,30.6,29.7,31.4,Proportion,"30.6 (29.7, 31.4)",50875,,NA,Total,Haryana,North
6,htn_diagnosed,13.4,12.6,14.1,Proportion,"13.4 (12.6, 14.1)",50875,,NA,Total,Haryana,North
6,htn_treated,5.6,5.3,5.9,Proportion,"5.6 (5.3, 5.9)",50875,,NA,Total,Haryana,North
6,htn_controlled,2.3,2.1,2.5,Proportion,"2.3 (2.1, 2.5)",50875,,NA,Total,Haryana,North
7,htn_screened,79.2,77.9,80.5,Proportion,"79.2 (77.9, 80.5)",22150,,NA,Total,Nct Of Delhi,North
7,htn_disease,33.6,32.5,34.6,Proportion,"33.6 (32.5, 34.6)",22150,,NA,Total,Nct Of Delhi,North
7,htn_diagnosed,12.5,11.8,13.2,Proportion,"12.5 (11.8, 13.2)",22150,,NA,Total,Nct Of Delhi,North
7,htn_treated,8,7.5,8.6,Proportion,"8 (7.5, 8.6)",22150,,NA,Total,Nct Of Delhi,North
7,htn_controlled,2.9,2.6,3.2,Proportion,"2.9 (2.6, 3.2)",22150,,NA,Total,Nct Of Delhi,North
8,htn_screened,53.4,52.1,54.6,Proportion,"53.4 (52.1, 54.6)",96730,,NA,Total,Rajasthan,North
8,htn_disease,22.5,21.8,23.2,Proportion,"22.5 (21.8, 23.2)",96730,,NA,Total,Rajasthan,North
8,htn_diagnosed,8.4,7.8,9,Proportion,"8.4 (7.8, 9)",96730,,NA,Total,Rajasthan,North
8,htn_treated,3.5,3.3,3.8,Proportion,"3.5 (3.3, 3.8)",96730,,NA,Total,Rajasthan,North
8,htn_controlled,1.5,1.4,1.7,Proportion,"1.5 (1.4, 1.7)",96730,,NA,Total,Rajasthan,North
9,htn_screened,60,59.2,60.8,Proportion,"60 (59.2, 60.8)",197361,,NA,Total,Uttar Pradesh,Central
9,htn_disease,27.4,27,27.9,Proportion,"27.4 (27, 27.9)",197361,,NA,Total,Uttar Pradesh,Central
9,htn_diagnosed,10.1,9.7,10.6,Proportion,"10.1 (9.7, 10.6)",197361,,NA,Total,Uttar Pradesh,Central
9,htn_treated,3.1,2.9,3.2,Proportion,"3.1 (2.9, 3.2)",197361,,NA,Total,Uttar Pradesh,Central
9,htn_controlled,1.3,1.3,1.4,Proportion,"1.3 (1.3, 1.4)",197361,,NA,Total,Uttar Pradesh,Central
10,htn_screened,59.8,58.8,60.8,Proportion,"59.8 (58.8, 60.8)",87239,,NA,Total,Bihar,East
10,htn_disease,25.5,24.8,26.2,Proportion,"25.5 (24.8, 26.2)",87239,,NA,Total,Bihar,East
10,htn_diagnosed,13.8,13,14.5,Proportion,"13.8 (13, 14.5)",87239,,NA,Total,Bihar,East
10,htn_treated,4.9,4.6,5.2,Proportion,"4.9 (4.6, 5.2)",87239,,NA,Total,Bihar,East
10,htn_controlled,2.4,2.3,2.6,Proportion,"2.4 (2.3, 2.6)",87239,,NA,Total,Bihar,East
11,htn_screened,73.8,70.6,76.9,Proportion,"73.8 (70.6, 76.9)",8036,,NA,Total,Sikkim,North East
11,htn_disease,42.8,40.3,45.3,Proportion,"42.8 (40.3, 45.3)",8036,,NA,Total,Sikkim,North East
11,htn_diagnosed,15.9,14.2,17.6,Proportion,"15.9 (14.2, 17.6)",8036,,NA,Total,Sikkim,North East
11,htn_treated,8.1,7,9.2,Proportion,"8.1 (7, 9.2)",8036,,NA,Total,Sikkim,North East
11,htn_controlled,2.2,1.6,2.8,Proportion,"2.2 (1.6, 2.8)",8036,,NA,Total,Sikkim,North East
12,htn_screened,61,59.1,62.8,Proportion,"61 (59.1, 62.8)",45722,,NA,Total,Arunachal Pradesh,North East
12,htn_disease,35,33.8,36.3,Proportion,"35 (33.8, 36.3)",45722,,NA,Total,Arunachal Pradesh,North East
12,htn_diagnosed,10.7,9.8,11.6,Proportion,"10.7 (9.8, 11.6)",45722,,NA,Total,Arunachal Pradesh,North East
12,htn_treated,3,2.7,3.3,Proportion,"3 (2.7, 3.3)",45722,,NA,Total,Arunachal Pradesh,North East
12,htn_controlled,0.8,0.7,1,Proportion,"0.8 (0.7, 1)",45722,,NA,Total,Arunachal Pradesh,North East
13,htn_screened,56.2,53.6,58.8,Proportion,"56.2 (53.6, 58.8)",24098,,NA,Total,Nagaland,North East
13,htn_disease,31,29.6,32.3,Proportion,"31 (29.6, 32.3)",24098,,NA,Total,Nagaland,North East
13,htn_diagnosed,12,10.9,13.1,Proportion,"12 (10.9, 13.1)",24098,,NA,Total,Nagaland,North East
13,htn_treated,3.9,3.3,4.4,Proportion,"3.9 (3.3, 4.4)",24098,,NA,Total,Nagaland,North East
13,htn_controlled,0.7,0.5,0.8,Proportion,"0.7 (0.5, 0.8)",24098,,NA,Total,Nagaland,North East
