state,residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,zone
1,Rural,htn_unscreened,9.7,8.1,11.4,Proportion,"9.7 (8.1, 11.4)",10321,,NA,Jammu & Kashmir,North
1,Rural,htn_undiagnosed,47,44.1,49.9,Proportion,"47 (44.1, 49.9)",10321,,NA,Jammu & Kashmir,North
1,Urban,htn_unscreened,11.2,7.6,14.7,Proportion,"11.2 (7.6, 14.7)",2548,,NA,Jammu & Kashmir,North
1,Urban,htn_undiagnosed,36.6,31.5,41.8,Proportion,"36.6 (31.5, 41.8)",2548,,NA,Jammu & Kashmir,North
2,Rural,htn_unscreened,13.5,12.1,14.9,Proportion,"13.5 (12.1, 14.9)",6887,,NA,Himachal Pradesh,North
2,Rural,htn_undiagnosed,51.2,48.7,53.7,Proportion,"51.2 (48.7, 53.7)",6887,,NA,Himachal Pradesh,North
2,Urban,htn_unscreened,8.5,6.4,10.7,Proportion,"8.5 (6.4, 10.7)",645,,NA,Himachal Pradesh,North
2,Urban,htn_undiagnosed,45.6,39.4,51.9,Proportion,"45.6 (39.4, 51.9)",645,,NA,Himachal Pradesh,North
3,Rural,htn_unscreened,12.5,11.3,13.7,Proportion,"12.5 (11.3, 13.7)",15557,,NA,Punjab,North
3,Rural,htn_undiagnosed,53.8,51.8,55.8,Proportion,"53.8 (51.8, 55.8)",15557,,NA,Punjab,North
3,Urban,htn_unscreened,9.7,8,11.4,Proportion,"9.7 (8, 11.4)",6530,,NA,Punjab,North
3,Urban,htn_undiagnosed,52.5,49.6,55.4,Proportion,"52.5 (49.6, 55.4)",6530,,NA,Punjab,North
4,Rural,htn_unscreened,0,0,0,Proportion,"0 (0, 0)",18,,NA,Chandigarh,North
4,Rural,htn_undiagnosed,77.8,77.8,77.8,Proportion,"77.8 (77.8, 77.8)",18,,NA,Chandigarh,North
4,Urban,htn_unscreened,11.4,6.9,15.9,Proportion,"11.4 (6.9, 15.9)",478,,NA,Chandigarh,North
4,Urban,htn_undiagnosed,57.7,49.6,65.8,Proportion,"57.7 (49.6, 65.8)",478,,NA,Chandigarh,North
5,Rural,htn_unscreened,23.4,21.7,25.1,Proportion,"23.4 (21.7, 25.1)",7288,,NA,Uttarakhand,Central
5,Rural,htn_undiagnosed,65.8,63.7,67.8,Proportion,"65.8 (63.7, 67.8)",7288,,NA,Uttarakhand,Central
5,Urban,htn_unscreened,14.2,11.3,17.1,Proportion,"14.2 (11.3, 17.1)",1845,,NA,Uttarakhand,Central
5,Urban,htn_undiagnosed,56.8,52.5,61.1,Proportion,"56.8 (52.5, 61.1)",1845,,NA,Uttarakhand,Central
6,Rural,htn_unscreened,18.4,17.1,19.6,Proportion,"18.4 (17.1, 19.6)",10454,,NA,Haryana,North
6,Rural,htn_undiagnosed,57.6,55.6,59.7,Proportion,"57.6 (55.6, 59.7)",10454,,NA,Haryana,North
6,Urban,htn_unscreened,14.1,12.6,15.7,Proportion,"14.1 (12.6, 15.7)",5028,,NA,Haryana,North
6,Urban,htn_undiagnosed,53.9,50.7,57.1,Proportion,"53.9 (50.7, 57.1)",5028,,NA,Haryana,North
7,Rural,htn_unscreened,8.7,3.8,13.5,Proportion,"8.7 (3.8, 13.5)",257,,NA,Nct Of Delhi,North
7,Rural,htn_undiagnosed,49.4,35.3,63.5,Proportion,"49.4 (35.3, 63.5)",257,,NA,Nct Of Delhi,North
7,Urban,htn_unscreened,12.9,11.6,14.1,Proportion,"12.9 (11.6, 14.1)",7148,,NA,Nct Of Delhi,North
7,Urban,htn_undiagnosed,63.1,61.1,65,Proportion,"63.1 (61.1, 65)",7148,,NA,Nct Of Delhi,North
8,Rural,htn_unscreened,32.4,30.8,33.9,Proportion,"32.4 (30.8, 33.9)",16241,,NA,Rajasthan,North
8,Rural,htn_undiagnosed,66.1,64.1,68.1,Proportion,"66.1 (64.1, 68.1)",16241,,NA,Rajasthan,North
8,Urban,htn_unscreened,18.5,16.2,20.8,Proportion,"18.5 (16.2, 20.8)",5363,,NA,Rajasthan,North
8,Urban,htn_undiagnosed,53.8,49.8,57.7,Proportion,"53.8 (49.8, 57.7)",5363,,NA,Rajasthan,North
9,Rural,htn_unscreened,25.8,24.8,26.8,Proportion,"25.8 (24.8, 26.8)",41878,,NA,Uttar Pradesh,Central
9,Rural,htn_undiagnosed,62.8,61.4,64.2,Proportion,"62.8 (61.4, 64.2)",41878,,NA,Uttar Pradesh,Central
9,Urban,htn_unscreened,19.1,17.4,20.8,Proportion,"19.1 (17.4, 20.8)",11481,,NA,Uttar Pradesh,Central
9,Urban,htn_undiagnosed,63.6,61.2,66,Proportion,"63.6 (61.2, 66)",11481,,NA,Uttar Pradesh,Central
10,Rural,htn_unscreened,20.8,19.7,21.8,Proportion,"20.8 (19.7, 21.8)",18707,,NA,Bihar,East
10,Rural,htn_undiagnosed,47.7,45.9,49.5,Proportion,"47.7 (45.9, 49.5)",18707,,NA,Bihar,East
10,Urban,htn_unscreened,13.5,11.1,15.9,Proportion,"13.5 (11.1, 15.9)",2640,,NA,Bihar,East
10,Urban,htn_undiagnosed,38.5,33.4,43.6,Proportion,"38.5 (33.4, 43.6)",2640,,NA,Bihar,East
11,Rural,htn_unscreened,19.6,16.7,22.5,Proportion,"19.6 (16.7, 22.5)",3260,,NA,Sikkim,North East
11,Rural,htn_undiagnosed,66.4,63,69.8,Proportion,"66.4 (63, 69.8)",3260,,NA,Sikkim,North East
11,Urban,htn_unscreened,15.9,9.1,22.6,Proportion,"15.9 (9.1, 22.6)",468,,NA,Sikkim,North East
11,Urban,htn_undiagnosed,55.4,48,62.7,Proportion,"55.4 (48, 62.7)",468,,NA,Sikkim,North East
12,Rural,htn_unscreened,31.5,29.2,33.7,Proportion,"31.5 (29.2, 33.7)",13174,,NA,Arunachal Pradesh,North East
12,Rural,htn_undiagnosed,71.1,68.8,73.3,Proportion,"71.1 (68.8, 73.3)",13174,,NA,Arunachal Pradesh,North East
12,Urban,htn_unscreened,20.8,15.4,26.3,Proportion,"20.8 (15.4, 26.3)",3334,,NA,Arunachal Pradesh,North East
12,Urban,htn_undiagnosed,60.7,54.6,66.8,Proportion,"60.7 (54.6, 66.8)",3334,,NA,Arunachal Pradesh,North East
13,Rural,htn_unscreened,33.6,30.1,37.1,Proportion,"33.6 (30.1, 37.1)",5723,,NA,Nagaland,North East
13,Rural,htn_undiagnosed,66.4,62.9,69.9,Proportion,"66.4 (62.9, 69.9)",5723,,NA,Nagaland,North East
13,Urban,htn_unscreened,17.7,13.5,21.8,Proportion,"17.7 (13.5, 21.8)",1886,,NA,Nagaland,North East
13,Urban,htn_undiagnosed,50.1,44.4,55.8,Proportion,"50.1 (44.4, 55.8)",1886,,NA,Nagaland,North East
14,Rural,htn_unscreened,11.5,10.1,12.8,Proportion,"11.5 (10.1, 12.8)",4471,,NA,Manipur,North East
14,Rural,htn_undiagnosed,58.6,56.2,61,Proportion,"58.6 (56.2, 61)",4471,,NA,Manipur,North East
14,Urban,htn_unscreened,7.4,5.8,9,Proportion,"7.4 (5.8, 9)",1975,,NA,Manipur,North East
14,Urban,htn_undiagnosed,50.9,47.5,54.3,Proportion,"50.9 (47.5, 54.3)",1975,,NA,Manipur,North East
15,Rural,htn_unscreened,17.6,14.2,21.1,Proportion,"17.6 (14.2, 21.1)",2116,,NA,Mizoram,North East
15,Rural,htn_undiagnosed,61.9,57.5,66.4,Proportion,"61.9 (57.5, 66.4)",2116,,NA,Mizoram,North East
15,Urban,htn_unscreened,5.9,4.3,7.4,Proportion,"5.9 (4.3, 7.4)",2108,,NA,Mizoram,North East
15,Urban,htn_undiagnosed,48.9,43,54.8,Proportion,"48.9 (43, 54.8)",2108,,NA,Mizoram,North East
16,Rural,htn_unscreened,18.8,16.2,21.4,Proportion,"18.8 (16.2, 21.4)",3314,,NA,Tripura,North East
16,Rural,htn_undiagnosed,52.1,48.8,55.4,Proportion,"52.1 (48.8, 55.4)",3314,,NA,Tripura,North East
16,Urban,htn_unscreened,7.1,4.7,9.4,Proportion,"7.1 (4.7, 9.4)",1018,,NA,Tripura,North East
16,Urban,htn_undiagnosed,40.6,35,46.2,Proportion,"40.6 (35, 46.2)",1018,,NA,Tripura,North East
17,Rural,htn_unscreened,40,35.9,44.1,Proportion,"40 (35.9, 44.1)",4622,,NA,Meghalaya,North East
17,Rural,htn_undiagnosed,70.6,67.4,73.8,Proportion,"70.6 (67.4, 73.8)",4622,,NA,Meghalaya,North East
17,Urban,htn_unscreened,19.9,13.1,26.8,Proportion,"19.9 (13.1, 26.8)",725,,NA,Meghalaya,North East
17,Urban,htn_undiagnosed,63.3,58.1,68.6,Proportion,"63.3 (58.1, 68.6)",725,,NA,Meghalaya,North East
18,Rural,htn_unscreened,19.9,18.6,21.2,Proportion,"19.9 (18.6, 21.2)",16196,,NA,Assam,North East
18,Rural,htn_undiagnosed,55.8,54.1,57.5,Proportion,"55.8 (54.1, 57.5)",16196,,NA,Assam,North East
18,Urban,htn_unscreened,12.2,10.2,14.2,Proportion,"12.2 (10.2, 14.2)",2896,,NA,Assam,North East
18,Urban,htn_undiagnosed,46.4,43,49.8,Proportion,"46.4 (43, 49.8)",2896,,NA,Assam,North East
19,Rural,htn_unscreened,24.3,22.4,26.2,Proportion,"24.3 (22.4, 26.2)",7622,,NA,West Bengal,East
19,Rural,htn_undiagnosed,61.5,59.6,63.4,Proportion,"61.5 (59.6, 63.4)",7622,,NA,West Bengal,East
19,Urban,htn_unscreened,17.6,14.5,20.6,Proportion,"17.6 (14.5, 20.6)",3969,,NA,West Bengal,East
19,Urban,htn_undiagnosed,53.6,50.5,56.6,Proportion,"53.6 (50.5, 56.6)",3969,,NA,West Bengal,East
20,Rural,htn_unscreened,35.5,33.5,37.5,Proportion,"35.5 (33.5, 37.5)",11814,,NA,Jharkhand,East
20,Rural,htn_undiagnosed,66.6,64,69.3,Proportion,"66.6 (64, 69.3)",11814,,NA,Jharkhand,East
20,Urban,htn_unscreened,20.4,17.7,23.2,Proportion,"20.4 (17.7, 23.2)",3610,,NA,Jharkhand,East
20,Urban,htn_undiagnosed,57.2,53.4,61.1,Proportion,"57.2 (53.4, 61.1)",3610,,NA,Jharkhand,East
21,Rural,htn_unscreened,40.4,38.8,42,Proportion,"40.4 (38.8, 42)",16265,,NA,Odisha,East
21,Rural,htn_undiagnosed,65.9,64.3,67.4,Proportion,"65.9 (64.3, 67.4)",16265,,NA,Odisha,East
21,Urban,htn_unscreened,24.3,21.2,27.3,Proportion,"24.3 (21.2, 27.3)",2942,,NA,Odisha,East
21,Urban,htn_undiagnosed,56.5,52.2,60.8,Proportion,"56.5 (52.2, 60.8)",2942,,NA,Odisha,East
22,Rural,htn_unscreened,37.1,35,39.1,Proportion,"37.1 (35, 39.1)",15447,,NA,Chhattisgarh,Central
22,Rural,htn_undiagnosed,80.6,79,82.1,Proportion,"80.6 (79, 82.1)",15447,,NA,Chhattisgarh,Central
22,Urban,htn_unscreened,20,17.2,22.9,Proportion,"20 (17.2, 22.9)",4050,,NA,Chhattisgarh,Central
22,Urban,htn_undiagnosed,65.6,61.7,69.6,Proportion,"65.6 (61.7, 69.6)",4050,,NA,Chhattisgarh,Central
23,Rural,htn_unscreened,42.5,41,43.9,Proportion,"42.5 (41, 43.9)",22718,,NA,Madhya Pradesh,Central
23,Rural,htn_undiagnosed,77.6,76.4,78.8,Proportion,"77.6 (76.4, 78.8)",22718,,NA,Madhya Pradesh,Central
23,Urban,htn_unscreened,25.6,23.2,27.9,Proportion,"25.6 (23.2, 27.9)",6991,,NA,Madhya Pradesh,Central
23,Urban,htn_undiagnosed,66.6,64.1,69.1,Proportion,"66.6 (64.1, 69.1)",6991,,NA,Madhya Pradesh,Central
24,Rural,htn_unscreened,37.6,35.7,39.6,Proportion,"37.6 (35.7, 39.6)",13898,,NA,Gujarat,West
24,Rural,htn_undiagnosed,72.9,71.4,74.4,Proportion,"72.9 (71.4, 74.4)",13898,,NA,Gujarat,West
24,Urban,htn_unscreened,20.3,17.9,22.6,Proportion,"20.3 (17.9, 22.6)",6378,,NA,Gujarat,West
24,Urban,htn_undiagnosed,58.6,55.7,61.4,Proportion,"58.6 (55.7, 61.4)",6378,,NA,Gujarat,West
25,Rural,htn_unscreened,24.8,17.7,31.8,Proportion,"24.8 (17.7, 31.8)",523,,NA,Dadra & Nagar Haveli And Daman & Diu,West
25,Rural,htn_undiagnosed,73.3,66.6,80.1,Proportion,"73.3 (66.6, 80.1)",523,,NA,Dadra & Nagar Haveli And Daman & Diu,West
25,Urban,htn_unscreened,21.6,13.5,29.6,Proportion,"21.6 (13.5, 29.6)",778,,NA,Dadra & Nagar Haveli And Daman & Diu,West
25,Urban,htn_undiagnosed,62.8,57.3,68.3,Proportion,"62.8 (57.3, 68.3)",778,,NA,Dadra & Nagar Haveli And Daman & Diu,West
27,Rural,htn_unscreened,31.4,29.6,33.2,Proportion,"31.4 (29.6, 33.2)",15901,,NA,Maharashtra,West
27,Rural,htn_undiagnosed,70.3,69,71.6,Proportion,"70.3 (69, 71.6)",15901,,NA,Maharashtra,West
27,Urban,htn_unscreened,18.8,16.6,21,Proportion,"18.8 (16.6, 21)",7345,,NA,Maharashtra,West
27,Urban,htn_undiagnosed,62.5,60.3,64.8,Proportion,"62.5 (60.3, 64.8)",7345,,NA,Maharashtra,West
28,Rural,htn_unscreened,17.1,15.4,18.8,Proportion,"17.1 (15.4, 18.8)",5601,,NA,Andhra Pradesh,South
28,Rural,htn_undiagnosed,58.3,56.2,60.4,Proportion,"58.3 (56.2, 60.4)",5601,,NA,Andhra Pradesh,South
28,Urban,htn_unscreened,12.6,10.5,14.7,Proportion,"12.6 (10.5, 14.7)",2470,,NA,Andhra Pradesh,South
28,Urban,htn_undiagnosed,52.5,48.9,56,Proportion,"52.5 (48.9, 56)",2470,,NA,Andhra Pradesh,South
29,Rural,htn_unscreened,26.8,25,28.5,Proportion,"26.8 (25, 28.5)",15034,,NA,Karnataka,South
29,Rural,htn_undiagnosed,67.4,65.7,69,Proportion,"67.4 (65.7, 69)",15034,,NA,Karnataka,South
29,Urban,htn_unscreened,22.4,18.8,26.1,Proportion,"22.4 (18.8, 26.1)",6410,,NA,Karnataka,South
29,Urban,htn_undiagnosed,58.7,55.6,61.8,Proportion,"58.7 (55.6, 61.8)",6410,,NA,Karnataka,South
30,Rural,htn_unscreened,3.8,1.6,5.9,Proportion,"3.8 (1.6, 5.9)",598,,NA,Goa,West
30,Rural,htn_undiagnosed,39.6,33.9,45.3,Proportion,"39.6 (33.9, 45.3)",598,,NA,Goa,West
30,Urban,htn_unscreened,5.4,3.1,7.8,Proportion,"5.4 (3.1, 7.8)",890,,NA,Goa,West
30,Urban,htn_undiagnosed,41.4,36.1,46.7,Proportion,"41.4 (36.1, 46.7)",890,,NA,Goa,West
31,Rural,htn_unscreened,0,0,0,Proportion,"0 (0, 0)",145,,NA,Lakshadweep,South
31,Rural,htn_undiagnosed,51.6,36.5,66.7,Proportion,"51.6 (36.5, 66.7)",145,,NA,Lakshadweep,South
31,Urban,htn_unscreened,2.2,1,3.4,Proportion,"2.2 (1, 3.4)",717,,NA,Lakshadweep,South
31,Urban,htn_undiagnosed,57.4,51.5,63.3,Proportion,"57.4 (51.5, 63.3)",717,,NA,Lakshadweep,South
32,Rural,htn_unscreened,4.8,4.1,5.6,Proportion,"4.8 (4.1, 5.6)",6642,,NA,Kerala,South
32,Rural,htn_undiagnosed,42.5,40.6,44.5,Proportion,"42.5 (40.6, 44.5)",6642,,NA,Kerala,South
32,Urban,htn_unscreened,3.4,2.8,4,Proportion,"3.4 (2.8, 4)",4501,,NA,Kerala,South
32,Urban,htn_undiagnosed,39.1,36.9,41.4,Proportion,"39.1 (36.9, 41.4)",4501,,NA,Kerala,South
33,Rural,htn_unscreened,12.1,11,13.2,Proportion,"12.1 (11, 13.2)",12139,,NA,Tamil Nadu,South
33,Rural,htn_undiagnosed,60.6,57.7,63.5,Proportion,"60.6 (57.7, 63.5)",12139,,NA,Tamil Nadu,South
33,Urban,htn_unscreened,9.1,7.9,10.2,Proportion,"9.1 (7.9, 10.2)",9435,,NA,Tamil Nadu,South
33,Urban,htn_undiagnosed,53.6,51,56.2,Proportion,"53.6 (51, 56.2)",9435,,NA,Tamil Nadu,South
34,Rural,htn_unscreened,19.1,11.8,26.3,Proportion,"19.1 (11.8, 26.3)",490,,NA,Puducherry,South
34,Rural,htn_undiagnosed,61.1,54.7,67.4,Proportion,"61.1 (54.7, 67.4)",490,,NA,Puducherry,South
34,Urban,htn_unscreened,8.7,5.5,12,Proportion,"8.7 (5.5, 12)",2631,,NA,Puducherry,South
34,Urban,htn_undiagnosed,47.9,40.6,55.2,Proportion,"47.9 (40.6, 55.2)",2631,,NA,Puducherry,South
35,Rural,htn_unscreened,8.2,6,10.4,Proportion,"8.2 (6, 10.4)",1919,,NA,Andaman & Nicobar Islands,South
35,Rural,htn_undiagnosed,61.5,56.9,66.1,Proportion,"61.5 (56.9, 66.1)",1919,,NA,Andaman & Nicobar Islands,South
35,Urban,htn_unscreened,10,6.3,13.8,Proportion,"10 (6.3, 13.8)",376,,NA,Andaman & Nicobar Islands,South
35,Urban,htn_undiagnosed,49.4,44.2,54.6,Proportion,"49.4 (44.2, 54.6)",376,,NA,Andaman & Nicobar Islands,South
36,Rural,htn_unscreened,15.7,14.4,17,Proportion,"15.7 (14.4, 17)",14233,,NA,Telangana,South
36,Rural,htn_undiagnosed,61,59.7,62.3,Proportion,"61 (59.7, 62.3)",14233,,NA,Telangana,South
36,Urban,htn_unscreened,10.7,9,12.3,Proportion,"10.7 (9, 12.3)",5540,,NA,Telangana,South
36,Urban,htn_undiagnosed,51.4,48.8,53.9,Proportion,"51.4 (48.8, 53.9)",5540,,NA,Telangana,South
37,Rural,htn_unscreened,7.8,4.2,11.3,Proportion,"7.8 (4.2, 11.3)",1107,,NA,Ladakh,North
37,Rural,htn_undiagnosed,33.4,25,41.8,Proportion,"33.4 (25, 41.8)",1107,,NA,Ladakh,North
37,Urban,htn_unscreened,5.3,-0.5,11.1,Proportion,"5.3 (-0.5, 11.1)",291,,NA,Ladakh,North
37,Urban,htn_undiagnosed,25.3,6.2,44.4,Proportion,"25.3 (6.2, 44.4)",291,,NA,Ladakh,North
1,Rural,htn_unscreened,6.9,5.5,8.3,Proportion,"6.9 (5.5, 8.3)",5456,sex,Female,Jammu & Kashmir,North
1,Rural,htn_undiagnosed,44.2,41.4,47,Proportion,"44.2 (41.4, 47)",5456,sex,Female,Jammu & Kashmir,North
1,Rural,htn_unscreened,12.9,10.7,15.1,Proportion,"12.9 (10.7, 15.1)",4865,sex,Male,Jammu & Kashmir,North
1,Rural,htn_undiagnosed,50.1,46.7,53.4,Proportion,"50.1 (46.7, 53.4)",4865,sex,Male,Jammu & Kashmir,North
1,Urban,htn_unscreened,8.4,5.2,11.6,Proportion,"8.4 (5.2, 11.6)",1376,sex,Female,Jammu & Kashmir,North
1,Urban,htn_undiagnosed,32.9,27.7,38.2,Proportion,"32.9 (27.7, 38.2)",1376,sex,Female,Jammu & Kashmir,North
1,Urban,htn_unscreened,14.4,10,18.8,Proportion,"14.4 (10, 18.8)",1172,sex,Male,Jammu & Kashmir,North
1,Urban,htn_undiagnosed,40.9,35.1,46.7,Proportion,"40.9 (35.1, 46.7)",1172,sex,Male,Jammu & Kashmir,North
2,Rural,htn_unscreened,8,6.7,9.3,Proportion,"8 (6.7, 9.3)",3672,sex,Female,Himachal Pradesh,North
2,Rural,htn_undiagnosed,42,38.9,45.1,Proportion,"42 (38.9, 45.1)",3672,sex,Female,Himachal Pradesh,North
2,Rural,htn_unscreened,20.1,18.1,22.2,Proportion,"20.1 (18.1, 22.2)",3215,sex,Male,Himachal Pradesh,North
2,Rural,htn_undiagnosed,62.4,59.7,65.1,Proportion,"62.4 (59.7, 65.1)",3215,sex,Male,Himachal Pradesh,North
2,Urban,htn_unscreened,4.2,1.9,6.6,Proportion,"4.2 (1.9, 6.6)",324,sex,Female,Himachal Pradesh,North
2,Urban,htn_undiagnosed,34.1,28.7,39.4,Proportion,"34.1 (28.7, 39.4)",324,sex,Female,Himachal Pradesh,North
2,Urban,htn_unscreened,12.6,9.1,16.1,Proportion,"12.6 (9.1, 16.1)",321,sex,Male,Himachal Pradesh,North
2,Urban,htn_undiagnosed,56.4,46.8,66,Proportion,"56.4 (46.8, 66)",321,sex,Male,Himachal Pradesh,North
3,Rural,htn_unscreened,6.9,5.9,7.8,Proportion,"6.9 (5.9, 7.8)",7976,sex,Female,Punjab,North
3,Rural,htn_undiagnosed,41.9,39.6,44.2,Proportion,"41.9 (39.6, 44.2)",7976,sex,Female,Punjab,North
3,Rural,htn_unscreened,18.4,16.7,20,Proportion,"18.4 (16.7, 20)",7581,sex,Male,Punjab,North
3,Rural,htn_undiagnosed,66.5,64.5,68.4,Proportion,"66.5 (64.5, 68.4)",7581,sex,Male,Punjab,North
3,Urban,htn_unscreened,4.9,3.4,6.3,Proportion,"4.9 (3.4, 6.3)",3297,sex,Female,Punjab,North
3,Urban,htn_undiagnosed,41.2,37.9,44.5,Proportion,"41.2 (37.9, 44.5)",3297,sex,Female,Punjab,North
3,Urban,htn_unscreened,14.6,12.3,16.9,Proportion,"14.6 (12.3, 16.9)",3233,sex,Male,Punjab,North
3,Urban,htn_undiagnosed,64,60.8,67.1,Proportion,"64 (60.8, 67.1)",3233,sex,Male,Punjab,North
4,Rural,htn_unscreened,0,0,0,Proportion,"0 (0, 0)",9,sex,Female,Chandigarh,North
4,Rural,htn_undiagnosed,66.7,66.7,66.7,Proportion,"66.7 (66.7, 66.7)",9,sex,Female,Chandigarh,North
4,Rural,htn_unscreened,0,0,0,Proportion,"0 (0, 0)",9,sex,Male,Chandigarh,North
4,Rural,htn_undiagnosed,88.9,88.9,88.9,Proportion,"88.9 (88.9, 88.9)",9,sex,Male,Chandigarh,North
4,Urban,htn_unscreened,5.9,1.2,10.6,Proportion,"5.9 (1.2, 10.6)",265,sex,Female,Chandigarh,North
4,Urban,htn_undiagnosed,47.2,38.2,56.2,Proportion,"47.2 (38.2, 56.2)",265,sex,Female,Chandigarh,North
4,Urban,htn_unscreened,18.4,12.1,24.8,Proportion,"18.4 (12.1, 24.8)",213,sex,Male,Chandigarh,North
4,Urban,htn_undiagnosed,71.2,62.2,80.1,Proportion,"71.2 (62.2, 80.1)",213,sex,Male,Chandigarh,North
5,Rural,htn_unscreened,18.4,16.5,20.3,Proportion,"18.4 (16.5, 20.3)",3753,sex,Female,Uttarakhand,Central
5,Rural,htn_undiagnosed,59.4,56.8,62,Proportion,"59.4 (56.8, 62)",3753,sex,Female,Uttarakhand,Central
5,Rural,htn_unscreened,28.7,26.5,30.9,Proportion,"28.7 (26.5, 30.9)",3535,sex,Male,Uttarakhand,Central
5,Rural,htn_undiagnosed,72.6,70.3,75,Proportion,"72.6 (70.3, 75)",3535,sex,Male,Uttarakhand,Central
5,Urban,htn_unscreened,7.8,5.2,10.4,Proportion,"7.8 (5.2, 10.4)",926,sex,Female,Uttarakhand,Central
5,Urban,htn_undiagnosed,46.6,41.6,51.6,Proportion,"46.6 (41.6, 51.6)",926,sex,Female,Uttarakhand,Central
5,Urban,htn_unscreened,20.6,16,25.2,Proportion,"20.6 (16, 25.2)",919,sex,Male,Uttarakhand,Central
5,Urban,htn_undiagnosed,67,61.6,72.4,Proportion,"67 (61.6, 72.4)",919,sex,Male,Uttarakhand,Central
6,Rural,htn_unscreened,11.3,10.1,12.5,Proportion,"11.3 (10.1, 12.5)",5458,sex,Female,Haryana,North
6,Rural,htn_undiagnosed,46.5,44.2,48.9,Proportion,"46.5 (44.2, 48.9)",5458,sex,Female,Haryana,North
6,Rural,htn_unscreened,26.1,24.4,27.8,Proportion,"26.1 (24.4, 27.8)",4996,sex,Male,Haryana,North
6,Rural,htn_undiagnosed,69.8,67.9,71.7,Proportion,"69.8 (67.9, 71.7)",4996,sex,Male,Haryana,North
6,Urban,htn_unscreened,6.3,5.1,7.6,Proportion,"6.3 (5.1, 7.6)",2581,sex,Female,Haryana,North
6,Urban,htn_undiagnosed,42.5,38.9,46,Proportion,"42.5 (38.9, 46)",2581,sex,Female,Haryana,North
6,Urban,htn_unscreened,22.3,19.9,24.6,Proportion,"22.3 (19.9, 24.6)",2447,sex,Male,Haryana,North
6,Urban,htn_undiagnosed,65.8,62.5,69,Proportion,"65.8 (62.5, 69)",2447,sex,Male,Haryana,North
7,Rural,htn_unscreened,2.3,-1,5.6,Proportion,"2.3 (-1, 5.6)",118,sex,Female,Nct Of Delhi,North
7,Rural,htn_undiagnosed,34.7,14.1,55.4,Proportion,"34.7 (14.1, 55.4)",118,sex,Female,Nct Of Delhi,North
7,Rural,htn_unscreened,14.2,4.1,24.3,Proportion,"14.2 (4.1, 24.3)",139,sex,Male,Nct Of Delhi,North
7,Rural,htn_undiagnosed,62.2,54.7,69.6,Proportion,"62.2 (54.7, 69.6)",139,sex,Male,Nct Of Delhi,North
7,Urban,htn_unscreened,6.7,5.7,7.8,Proportion,"6.7 (5.7, 7.8)",3462,sex,Female,Nct Of Delhi,North
7,Urban,htn_undiagnosed,52.6,50,55.2,Proportion,"52.6 (50, 55.2)",3462,sex,Female,Nct Of Delhi,North
7,Urban,htn_unscreened,18.7,16.9,20.5,Proportion,"18.7 (16.9, 20.5)",3686,sex,Male,Nct Of Delhi,North
7,Urban,htn_undiagnosed,73,71.1,74.8,Proportion,"73 (71.1, 74.8)",3686,sex,Male,Nct Of Delhi,North
8,Rural,htn_unscreened,24.9,23.2,26.5,Proportion,"24.9 (23.2, 26.5)",8275,sex,Female,Rajasthan,North
8,Rural,htn_undiagnosed,59,56.8,61.3,Proportion,"59 (56.8, 61.3)",8275,sex,Female,Rajasthan,North
8,Rural,htn_unscreened,40.2,38.3,42.1,Proportion,"40.2 (38.3, 42.1)",7966,sex,Male,Rajasthan,North
8,Rural,htn_undiagnosed,73.5,71.5,75.5,Proportion,"73.5 (71.5, 75.5)",7966,sex,Male,Rajasthan,North
