variable,group,Analytic,Excluded
bmi,NA,"22.8 (22.7, 22.8)","22.8 (22.5, 23.1)"
age,NA,"41.8 (41.8, 41.9)","38.9 (38.8, 39)"
highwc,NA,"40 (39.7, 40.3)","41 (38, 44.1)"
htn,NA,"28.4 (28.2, 28.6)",NA
highbp,NA,"22.9 (22.7, 23)",NA
diaghtn,NA,"49.8 (49.3, 50.3)",NA
htn_screened,NA,"63.8 (63.5, 64.2)","0 (0, 0)"
htn_disease,NA,"28.4 (28.2, 28.6)",NA
htn_diagnosed,NA,"11 (10.8, 11.1)",NA
htn_treated,NA,"6.4 (6.3, 6.5)",NA
htn_controlled,NA,"2.7 (2.6, 2.7)",NA
residence,Rural,"67.9 (67.2, 68.7)","56.1 (54.7, 57.5)"
residence,Urban,"32.1 (31.3, 32.8)","43.9 (42.5, 45.3)"
sex,Female,"53 (52.9, 53.1)","35.4 (35, 35.7)"
sex,Male,"47 (46.9, 47.1)","64.6 (64.3, 65)"
age_category,18-39,"49.6 (49.4, 49.8)","57.6 (57.2, 58)"
age_category,40-64,"39.1 (38.9, 39.2)","33.8 (33.5, 34.1)"
age_category,65 plus,"11.3 (11.2, 11.4)","8.6 (8.4, 8.8)"
age_category10,"[18,30)","28.6 (28.5, 28.8)","35.9 (35.6, 36.3)"
age_category10,"[30,40)","21 (20.9, 21.1)","21.7 (21.3, 22)"
age_category10,"[40,50)","18 (17.9, 18.1)","16.4 (16.1, 16.7)"
age_category10,"[50,60)","14.4 (14.3, 14.5)","12.3 (12.1, 12.6)"
age_category10,"[60,70)","11.4 (11.4, 11.5)","8.5 (8.4, 8.7)"
age_category10,"[70,80)","4.8 (4.7, 4.8)","3.5 (3.4, 3.6)"
age_category10,"[80,100]","1.8 (1.8, 1.8)","1.6 (1.5, 1.7)"
age_category5,"[15,20)","5.2 (5.1, 5.2)","6.4 (6.3, 6.6)"
age_category5,"[20,25)","11.7 (11.7, 11.8)","15.2 (15, 15.5)"
age_category5,"[25,30)","11.7 (11.6, 11.8)","14.3 (14, 14.5)"
age_category5,"[30,35)","10.6 (10.5, 10.6)","11.4 (11.2, 11.7)"
age_category5,"[35,40)","10.4 (10.3, 10.5)","10.2 (10, 10.4)"
age_category5,"[40,45)","8.9 (8.8, 8.9)","8.3 (8.1, 8.5)"
age_category5,"[45,50)","9.2 (9.1, 9.3)","8.1 (7.9, 8.3)"
age_category5,"[50,55)","7.3 (7.3, 7.4)","6.6 (6.4, 6.7)"
age_category5,"[55,60)","7.1 (7, 7.1)","5.8 (5.6, 5.9)"
age_category5,"[60,65)","6.6 (6.6, 6.7)","5.1 (4.9, 5.2)"
age_category5,"[65,70)","4.8 (4.7, 4.8)","3.5 (3.4, 3.6)"
age_category5,"[70,75)","3.2 (3.1, 3.2)","2.3 (2.2, 2.4)"
age_category5,"[75,80)","1.6 (1.6, 1.6)","1.2 (1.2, 1.3)"
age_category5,"[80,85)","1 (1, 1)","0.9 (0.8, 0.9)"
age_category5,"[85,90)","0.5 (0.4, 0.5)","0.4 (0.3, 0.4)"
age_category5,"[90,95)","0.2 (0.2, 0.2)","0.2 (0.2, 0.2)"
age_category5,"[95,100]","0.1 (0.1, 0.1)","0.2 (0.1, 0.2)"
education,Higher,"15 (14.8, 15.3)","22.6 (21.9, 23.2)"
education,No education,"27.9 (27.6, 28.1)","21.2 (20.8, 21.7)"
education,Primary,"14.4 (14.3, 14.5)","11.4 (11.1, 11.6)"
education,Secondary,"42.7 (42.5, 42.9)","44.8 (44.4, 45.3)"
caste,General,"27.2 (26.8, 27.6)","32.3 (31.4, 33.2)"
caste,OBC,"41.9 (41.5, 42.3)","40.7 (39.9, 41.5)"
caste,Schedule Caste,"21.5 (21.1, 21.8)","20 (19.4, 20.6)"
caste,Schedule Tribe,"9.5 (9.2, 9.7)","7 (6.7, 7.4)"
religion,Hindu,"82.5 (82.1, 82.9)","77.9 (77, 78.8)"
religion,Muslim,"12 (11.6, 12.4)","15.4 (14.6, 16.2)"
religion,Other,"5.5 (5.3, 5.7)","6.7 (6.3, 7.2)"
wealthq_ur,1,"18.3 (18, 18.6)","15.8 (15.3, 16.3)"
wealthq_ur,2,"19.5 (19.2, 19.7)","17.3 (16.8, 17.8)"
wealthq_ur,3,"20.4 (20.1, 20.6)","18.4 (17.9, 18.8)"
wealthq_ur,4,"20.9 (20.7, 21.1)","21 (20.5, 21.5)"
wealthq_ur,5,"21 (20.7, 21.3)","27.6 (26.7, 28.5)"
bmi_category,Underweight,"6.4 (6.3, 6.4)","0.2 (0.1, 0.2)"
bmi_category,Normal,"24.3 (24.1, 24.4)","0.6 (0.5, 0.6)"
bmi_category,Overweight,"7.9 (7.9, 8)","0.2 (0.1, 0.2)"
bmi_category,Obese,"2.7 (2.7, 2.8)","0.1 (0.1, 0.1)"
bmi_category,NA,"58.7 (58.6, 58.9)","99 (99, 99.1)"
