strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification
Analytic,bmi,24,23.9,24,Continuous,NA,"24 (23.9, 24)",101160,status
Analytic,age,58.5,58.5,58.5,Continuous,NA,"58.5 (58.5, 58.5)",696765,status
Excluded,bmi,24,23.1,24.9,Continuous,NA,"24 (23.1, 24.9)",261,status
Excluded,age,57.9,57.8,58,Continuous,NA,"57.9 (57.8, 58)",68395,status
Analytic,highwc,51.9,51.4,52.4,Proportion,NA,"51.9 (51.4, 52.4)",101264,status
Analytic,htn,45.2,44.9,45.4,Proportion,NA,"45.2 (44.9, 45.4)",696765,status
Analytic,highbp,36.9,36.7,37.1,Proportion,NA,"36.9 (36.7, 37.1)",696765,status
Analytic,diaghtn,57.2,56.7,57.6,Proportion,NA,"57.2 (56.7, 57.6)",128354,status
Analytic,htn_screened,72.3,72,72.7,Proportion,NA,"72.3 (72, 72.7)",696765,status
Analytic,htn_disease,45.2,44.9,45.4,Proportion,NA,"45.2 (44.9, 45.4)",696765,status
Analytic,htn_diagnosed,19.3,19.1,19.5,Proportion,NA,"19.3 (19.1, 19.5)",696765,status
Analytic,htn_treated,13.4,13.2,13.6,Proportion,NA,"13.4 (13.2, 13.6)",696765,status
Analytic,htn_controlled,5.3,5.2,5.4,Proportion,NA,"5.3 (5.2, 5.4)",696765,status
Excluded,highwc,50.8,42.8,58.8,Proportion,NA,"50.8 (42.8, 58.8)",247,status
Excluded,htn_screened,0,0,0,Proportion,NA,"0 (0, 0)",68395,status
Analytic,residence,68.3,67.5,69.1,Grouped,Rural,"68.3 (67.5, 69.1)",696765,status
Analytic,residence,31.7,30.9,32.5,Grouped,Urban,"31.7 (30.9, 32.5)",696765,status
Excluded,residence,54.7,53.1,56.3,Grouped,Rural,"54.7 (53.1, 56.3)",68395,status
Excluded,residence,45.3,43.7,46.9,Grouped,Urban,"45.3 (43.7, 46.9)",68395,status
Analytic,sex,52.3,52.2,52.4,Grouped,Female,"52.3 (52.2, 52.4)",696765,status
Analytic,sex,47.7,47.6,47.8,Grouped,Male,"47.7 (47.6, 47.8)",696765,status
Excluded,sex,39,38.6,39.5,Grouped,Female,"39 (38.6, 39.5)",68395,status
Excluded,sex,61,60.5,61.4,Grouped,Male,"61 (60.5, 61.4)",68395,status
Analytic,age_category,72.7,72.5,72.9,Grouped,40-64,"72.7 (72.5, 72.9)",696765,status
Analytic,age_category,27.3,27.1,27.5,Grouped,65 plus,"27.3 (27.1, 27.5)",696765,status
