variable,estimate,lci,uci,type,est_ci,n,stratification,strata
htn_screened,63.8,63.5,64.2,Proportion,"63.8 (63.5, 64.2)",1691109,,NA
htn_disease,28.4,28.2,28.6,Proportion,"28.4 (28.2, 28.6)",1691109,,NA
htn_diagnosed,11,10.8,11.1,Proportion,"11 (10.8, 11.1)",1691109,,NA
htn_treated,6.4,6.3,6.5,Proportion,"6.4 (6.3, 6.5)",1691109,,NA
htn_controlled,2.7,2.6,2.7,Proportion,"2.7 (2.6, 2.7)",1691109,,NA
htn_screened,70.2,69.9,70.6,Proportion,"70.2 (69.9, 70.6)",889507,sex,Female
htn_disease,27.7,27.5,27.9,Proportion,"27.7 (27.5, 27.9)",889507,sex,Female
htn_diagnosed,12.6,12.5,12.8,Proportion,"12.6 (12.5, 12.8)",889507,sex,Female
htn_treated,7.3,7.2,7.4,Proportion,"7.3 (7.2, 7.4)",889507,sex,Female
htn_controlled,3.1,3,3.2,Proportion,"3.1 (3, 3.2)",889507,sex,Female
htn_screened,56.6,56.3,57,Proportion,"56.6 (56.3, 57)",801602,sex,Male
htn_disease,29.1,28.9,29.4,Proportion,"29.1 (28.9, 29.4)",801602,sex,Male
htn_diagnosed,9.1,9,9.3,Proportion,"9.1 (9, 9.3)",801602,sex,Male
htn_treated,5.4,5.3,5.5,Proportion,"5.4 (5.3, 5.5)",801602,sex,Male
htn_controlled,2.2,2.1,2.2,Proportion,"2.2 (2.1, 2.2)",801602,sex,Male
