strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification
Analytic,bmi,23.9,23.9,24,Continuous,NA,"23.9 (23.9, 24)",101161,status
Analytic,age,58.5,58.5,58.6,Continuous,NA,"58.5 (58.5, 58.6)",696769,status
Excluded,bmi,23.9,23,24.8,Continuous,NA,"23.9 (23, 24.8)",261,status
Excluded,age,58,57.9,58.2,Continuous,NA,"58 (57.9, 58.2)",68395,status
Analytic,highwc,52,51.4,52.5,Proportion,NA,"52 (51.4, 52.5)",101266,status
Analytic,htn,45.1,44.8,45.3,Proportion,NA,"45.1 (44.8, 45.3)",696769,status
Analytic,highbp,36.8,36.6,37.1,Proportion,NA,"36.8 (36.6, 37.1)",696769,status
Analytic,diaghtn,57.2,56.7,57.6,Proportion,NA,"57.2 (56.7, 57.6)",128354,status
Analytic,htn_screened,72.3,71.9,72.6,Proportion,NA,"72.3 (71.9, 72.6)",696769,status
Analytic,htn_disease,45.1,44.8,45.3,Proportion,NA,"45.1 (44.8, 45.3)",696769,status
Analytic,htn_diagnosed,19.3,19.1,19.5,Proportion,NA,"19.3 (19.1, 19.5)",696769,status
Analytic,htn_treated,13.4,13.3,13.6,Proportion,NA,"13.4 (13.3, 13.6)",696769,status
Analytic,htn_controlled,5.3,5.2,5.4,Proportion,NA,"5.3 (5.2, 5.4)",696769,status
Excluded,highwc,50.2,42.2,58.2,Proportion,NA,"50.2 (42.2, 58.2)",247,status
Excluded,htn_screened,0,0,0,Proportion,NA,"0 (0, 0)",68395,status
Analytic,residence,69.6,68.8,70.3,Grouped,Rural,"69.6 (68.8, 70.3)",696769,status
Analytic,residence,30.4,29.7,31.2,Grouped,Urban,"30.4 (29.7, 31.2)",696769,status
Excluded,residence,56.5,54.9,58.1,Grouped,Rural,"56.5 (54.9, 58.1)",68395,status
Excluded,residence,43.5,41.9,45.1,Grouped,Urban,"43.5 (41.9, 45.1)",68395,status
Analytic,sex,54.3,54.2,54.4,Grouped,Female,"54.3 (54.2, 54.4)",696769,status
Analytic,sex,45.7,45.6,45.8,Grouped,Male,"45.7 (45.6, 45.8)",696769,status
Excluded,sex,41.1,40.6,41.5,Grouped,Female,"41.1 (40.6, 41.5)",68395,status
Excluded,sex,58.9,58.5,59.4,Grouped,Male,"58.9 (58.5, 59.4)",68395,status
