variable,group,Analytic,Excluded
bmi,NA,"23.9 (23.9, 24)","23.9 (23, 24.8)"
age,NA,"58.5 (58.5, 58.6)","58 (57.9, 58.2)"
highwc,NA,"52 (51.4, 52.5)","50.2 (42.2, 58.2)"
htn,NA,"45.1 (44.8, 45.3)",NA
highbp,NA,"36.8 (36.6, 37.1)",NA
diaghtn,NA,"57.2 (56.7, 57.6)",NA
htn_screened,NA,"72.3 (71.9, 72.6)","0 (0, 0)"
htn_disease,NA,"45.1 (44.8, 45.3)",NA
htn_diagnosed,NA,"19.3 (19.1, 19.5)",NA
htn_treated,NA,"13.4 (13.3, 13.6)",NA
htn_controlled,NA,"5.3 (5.2, 5.4)",NA
residence,Rural,"69.6 (68.8, 70.3)","56.5 (54.9, 58.1)"
residence,Urban,"30.4 (29.7, 31.2)","43.5 (41.9, 45.1)"
sex,Female,"54.3 (54.2, 54.4)","41.1 (40.6, 41.5)"
sex,Male,"45.7 (45.6, 45.8)","58.9 (58.5, 59.4)"
age_category,40-64,"72.5 (72.4, 72.7)","74.4 (73.9, 74.9)"
age_category,65 plus,"27.5 (27.3, 27.6)","25.6 (25.1, 26.1)"
age_category10,"[40,50)","22 (21.8, 22.1)","23.4 (22.9, 23.9)"
age_category10,"[50,60)","34.5 (34.3, 34.6)","35.9 (35.4, 36.5)"
age_category10,"[60,70)","27.8 (27.6, 27.9)","25.4 (24.9, 25.9)"
age_category10,"[70,80)","11.6 (11.5, 11.7)","10.5 (10.1, 10.8)"
age_category10,"[80,100]","4.2 (4.2, 4.3)","4.8 (4.5, 5)"
age_category5,"[45,50)","22 (21.8, 22.1)","23.4 (22.9, 23.9)"
age_category5,"[50,55)","17.5 (17.3, 17.6)","19 (18.6, 19.4)"
age_category5,"[55,60)","17 (16.9, 17.1)","16.9 (16.5, 17.3)"
age_category5,"[60,65)","16.1 (16, 16.2)","15 (14.7, 15.4)"
age_category5,"[65,70)","11.6 (11.5, 11.8)","10.4 (10, 10.7)"
age_category5,"[70,75)","7.7 (7.6, 7.8)","6.8 (6.5, 7.1)"
age_category5,"[75,80)","3.9 (3.8, 3.9)","3.7 (3.5, 3.9)"
age_category5,"[80,85)","2.4 (2.4, 2.5)","2.5 (2.3, 2.7)"
age_category5,"[85,90)","1.1 (1.1, 1.1)","1.1 (1, 1.2)"
age_category5,"[90,95)","0.5 (0.4, 0.5)","0.6 (0.5, 0.7)"
age_category5,"[95,100]","0.3 (0.2, 0.3)","0.4 (0.4, 0.5)"
education,Higher,"6.5 (6.3, 6.7)","12.7 (11.9, 13.6)"
education,No education,"45.6 (45.3, 46)","39.4 (38.5, 40.3)"
education,Primary,"18.4 (18.2, 18.6)","14.7 (14.3, 15.1)"
education,Secondary,"29.5 (29.2, 29.7)","33.2 (32.5, 33.9)"
caste,General,"28.1 (27.7, 28.5)","33.4 (32.3, 34.5)"
caste,OBC,"42.6 (42.1, 43)","40.8 (39.8, 41.7)"
caste,Schedule Caste,"20.3 (19.9, 20.7)","18.8 (18.2, 19.5)"
caste,Schedule Tribe,"9 (8.8, 9.3)","7 (6.6, 7.4)"
religion,Hindu,"84 (83.6, 84.4)","79.9 (79, 80.9)"
religion,Muslim,"10.2 (9.9, 10.6)","12.9 (12.1, 13.7)"
religion,Other,"5.8 (5.6, 6)","7.2 (6.5, 7.8)"
wealthq_ur,1,"18.4 (18, 18.7)","15.4 (14.8, 16)"
wealthq_ur,2,"18.9 (18.7, 19.1)","16.4 (15.9, 17)"
wealthq_ur,3,"20 (19.8, 20.2)","17.5 (16.9, 18.1)"
wealthq_ur,4,"21 (20.7, 21.2)","20.7 (20.1, 21.3)"
wealthq_ur,5,"21.8 (21.4, 22.1)","30 (28.8, 31.1)"
bmi_category,Underweight,"1.4 (1.3, 1.4)","0.1 (0, 0.1)"
bmi_category,Normal,"8.2 (8.1, 8.3)","0.2 (0.2, 0.2)"
bmi_category,Overweight,"3.8 (3.8, 3.9)","0.1 (0, 0.1)"
bmi_category,Obese,"1.4 (1.4, 1.5)","0.1 (0, 0.1)"
bmi_category,NA,"85.2 (85.1, 85.3)","99.6 (99.6, 99.7)"
