strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification
Analytic,bmi,22.7,22.7,22.8,Continuous,NA,"22.7 (22.7, 22.8)",689216,status
Analytic,age,32.4,32.4,32.5,Continuous,NA,"32.4 (32.4, 32.5)",1149386,status
Excluded,bmi,22.7,22.4,23,Continuous,NA,"22.7 (22.4, 23)",2062,status
Excluded,age,31.1,31,31.2,Continuous,NA,"31.1 (31, 31.2)",151934,status
Analytic,highwc,40.4,40.1,40.7,Proportion,NA,"40.4 (40.1, 40.7)",689751,status
Analytic,htn,18.8,18.6,18.9,Proportion,NA,"18.8 (18.6, 18.9)",1149386,status
Analytic,highbp,14.9,14.8,15,Proportion,NA,"14.9 (14.8, 15)",1149386,status
Analytic,diaghtn,35.5,34.8,36.1,Proportion,NA,"35.5 (34.8, 36.1)",68439,status
Analytic,htn_screened,59.7,59.3,60,Proportion,NA,"59.7 (59.3, 60)",1149386,status
Analytic,htn_disease,18.8,18.6,18.9,Proportion,NA,"18.8 (18.6, 18.9)",1149386,status
Analytic,htn_diagnosed,6,5.9,6.1,Proportion,NA,"6 (5.9, 6.1)",1149386,status
Analytic,htn_treated,2.1,2.1,2.2,Proportion,NA,"2.1 (2.1, 2.2)",1149386,status
Analytic,htn_controlled,1,1,1.1,Proportion,NA,"1 (1, 1.1)",1149386,status
Excluded,highwc,41.5,38.4,44.6,Proportion,NA,"41.5 (38.4, 44.6)",1872,status
Excluded,htn_screened,0,0,0,Proportion,NA,"0 (0, 0)",151934,status
Analytic,residence,69,68.2,69.8,Grouped,Rural,"69 (68.2, 69.8)",1149386,status
Analytic,residence,31,30.2,31.8,Grouped,Urban,"31 (30.2, 31.8)",1149386,status
Excluded,residence,58.1,56.7,59.5,Grouped,Rural,"58.1 (56.7, 59.5)",151934,status
Excluded,residence,41.9,40.5,43.3,Grouped,Urban,"41.9 (40.5, 43.3)",151934,status
Analytic,sex,55.7,55.6,55.8,Grouped,Female,"55.7 (55.6, 55.8)",1149386,status
Analytic,sex,44.3,44.2,44.4,Grouped,Male,"44.3 (44.2, 44.4)",1149386,status
Excluded,sex,35.4,35,35.8,Grouped,Female,"35.4 (35, 35.8)",151934,status
Excluded,sex,64.6,64.2,65,Grouped,Male,"64.6 (64.2, 65)",151934,status
Analytic,age_category,72.7,72.6,72.9,Grouped,18-39,"72.7 (72.6, 72.9)",1149386,status
Analytic,age_category,27.3,27.1,27.4,Grouped,40-64,"27.3 (27.1, 27.4)",1149386,status
Excluded,age_category,77.4,77,77.7,Grouped,18-39,"77.4 (77, 77.7)",151934,status
Excluded,age_category,22.6,22.3,23,Grouped,40-64,"22.6 (22.3, 23)",151934,status
Analytic,age_category10,41.5,41.4,41.7,Grouped,"[18,30)","41.5 (41.4, 41.7)",1149386,status
Analytic,age_category10,31.2,31.1,31.4,Grouped,"[30,40)","31.2 (31.1, 31.4)",1149386,status
Analytic,age_category10,27.3,27.1,27.4,Grouped,"[40,50)","27.3 (27.1, 27.4)",1149386,status
Excluded,age_category10,47.9,47.5,48.4,Grouped,"[18,30)","47.9 (47.5, 48.4)",151934,status
Excluded,age_category10,29.4,29,29.9,Grouped,"[30,40)","29.4 (29, 29.9)",151934,status
Excluded,age_category10,22.6,22.3,23,Grouped,"[40,50)","22.6 (22.3, 23)",151934,status
Analytic,age_category5,7.5,7.5,7.6,Grouped,"[15,20)","7.5 (7.5, 7.6)",1149386,status
Analytic,age_category5,16.9,16.8,17.1,Grouped,"[20,25)","16.9 (16.8, 17.1)",1149386,status
Analytic,age_category5,17,16.9,17.2,Grouped,"[25,30)","17 (16.9, 17.2)",1149386,status
Analytic,age_category5,15.6,15.5,15.7,Grouped,"[30,35)","15.6 (15.5, 15.7)",1149386,status
Analytic,age_category5,15.6,15.5,15.7,Grouped,"[35,40)","15.6 (15.5, 15.7)",1149386,status
Analytic,age_category5,13.3,13.2,13.4,Grouped,"[40,45)","13.3 (13.2, 13.4)",1149386,status
Analytic,age_category5,13.9,13.8,14,Grouped,"[45,50)","13.9 (13.8, 14)",1149386,status
