state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,residence,n5_state,zone
1,htn_screened,80.3,78.8,81.8,Proportion,"80.3 (78.8, 81.8)",32598,,NA,Total,Jammu & Kashmir,North
1,htn_diagnosed,22.7,21.3,24,Proportion,"22.7 (21.3, 24)",32598,,NA,Total,Jammu & Kashmir,North
2,htn_screened,80,78.6,81.3,Proportion,"80 (78.6, 81.3)",16496,,NA,Total,Himachal Pradesh,North
2,htn_diagnosed,23.2,21.8,24.6,Proportion,"23.2 (21.8, 24.6)",16496,,NA,Total,Himachal Pradesh,North
3,htn_screened,83.7,82.6,84.7,Proportion,"83.7 (82.6, 84.7)",37702,,NA,Total,Punjab,North
3,htn_diagnosed,27.4,26.2,28.5,Proportion,"27.4 (26.2, 28.5)",37702,,NA,Total,Punjab,North
4,htn_screened,86,81.3,90.8,Proportion,"86 (81.3, 90.8)",896,,NA,Total,Chandigarh,North
4,htn_diagnosed,23.5,17.9,29,Proportion,"23.5 (17.9, 29)",896,,NA,Total,Chandigarh,North
5,htn_screened,73.4,71.8,74.9,Proportion,"73.4 (71.8, 74.9)",19184,,NA,Total,Uttarakhand,Central
5,htn_diagnosed,18.4,17.2,19.6,Proportion,"18.4 (17.2, 19.6)",19184,,NA,Total,Uttarakhand,Central
6,htn_screened,75.9,74.9,76.8,Proportion,"75.9 (74.9, 76.8)",33422,,NA,Total,Haryana,North
6,htn_diagnosed,20.4,19.3,21.4,Proportion,"20.4 (19.3, 21.4)",33422,,NA,Total,Haryana,North
7,htn_screened,81.8,80.5,83.2,Proportion,"81.8 (80.5, 83.2)",15025,,NA,Total,Nct Of Delhi,North
7,htn_diagnosed,18.5,17.4,19.5,Proportion,"18.5 (17.4, 19.5)",15025,,NA,Total,Nct Of Delhi,North
8,htn_screened,58.4,57.1,59.7,Proportion,"58.4 (57.1, 59.7)",58123,,NA,Total,Rajasthan,North
8,htn_diagnosed,13.9,13,14.8,Proportion,"13.9 (13, 14.8)",58123,,NA,Total,Rajasthan,North
9,htn_screened,65.1,64.3,66,Proportion,"65.1 (64.3, 66)",120522,,NA,Total,Uttar Pradesh,Central
9,htn_diagnosed,16.6,15.9,17.3,Proportion,"16.6 (15.9, 17.3)",120522,,NA,Total,Uttar Pradesh,Central
10,htn_screened,67.7,66.7,68.7,Proportion,"67.7 (66.7, 68.7)",45939,,NA,Total,Bihar,East
10,htn_diagnosed,26.1,24.8,27.4,Proportion,"26.1 (24.8, 27.4)",45939,,NA,Total,Bihar,East
11,htn_screened,77,74,79.9,Proportion,"77 (74, 79.9)",6168,,NA,Total,Sikkim,North East
11,htn_diagnosed,21.6,19.3,23.9,Proportion,"21.6 (19.3, 23.9)",6168,,NA,Total,Sikkim,North East
12,htn_screened,64,62.1,65.9,Proportion,"64 (62.1, 65.9)",33516,,NA,Total,Arunachal Pradesh,North East
12,htn_diagnosed,15,13.8,16.2,Proportion,"15 (13.8, 16.2)",33516,,NA,Total,Arunachal Pradesh,North East
13,htn_screened,61,58.1,63.8,Proportion,"61 (58.1, 63.8)",15649,,NA,Total,Nagaland,North East
13,htn_diagnosed,18.7,17,20.4,Proportion,"18.7 (17, 20.4)",15649,,NA,Total,Nagaland,North East
14,htn_screened,86.2,85.1,87.3,Proportion,"86.2 (85.1, 87.3)",13593,,NA,Total,Manipur,North East
14,htn_diagnosed,22,20.6,23.3,Proportion,"22 (20.6, 23.3)",13593,,NA,Total,Manipur,North East
15,htn_screened,82.7,80.4,85,Proportion,"82.7 (80.4, 85)",10343,,NA,Total,Mizoram,North East
15,htn_diagnosed,20.4,18.3,22.4,Proportion,"20.4 (18.3, 22.4)",10343,,NA,Total,Mizoram,North East
16,htn_screened,75.7,73.2,78.2,Proportion,"75.7 (73.2, 78.2)",9509,,NA,Total,Tripura,North East
16,htn_diagnosed,24.4,22.4,26.5,Proportion,"24.4 (22.4, 26.5)",9509,,NA,Total,Tripura,North East
17,htn_screened,54.7,51.3,58.2,Proportion,"54.7 (51.3, 58.2)",14931,,NA,Total,Meghalaya,North East
17,htn_diagnosed,11.8,10.5,13.1,Proportion,"11.8 (10.5, 13.1)",14931,,NA,Total,Meghalaya,North East
18,htn_screened,71.4,70.2,72.6,Proportion,"71.4 (70.2, 72.6)",45823,,NA,Total,Assam,North East
18,htn_diagnosed,19.2,18.4,20,Proportion,"19.2 (18.4, 20)",45823,,NA,Total,Assam,North East
19,htn_screened,67.9,66.2,69.6,Proportion,"67.9 (66.2, 69.6)",28265,,NA,Total,West Bengal,East
19,htn_diagnosed,16.8,15.9,17.6,Proportion,"16.8 (15.9, 17.6)",28265,,NA,Total,West Bengal,East
20,htn_screened,58.9,57.3,60.5,Proportion,"58.9 (57.3, 60.5)",36044,,NA,Total,Jharkhand,East
20,htn_diagnosed,15.7,14.4,16.9,Proportion,"15.7 (14.4, 16.9)",36044,,NA,Total,Jharkhand,East
21,htn_screened,52.7,51.5,54,Proportion,"52.7 (51.5, 54)",42186,,NA,Total,Odisha,East
21,htn_diagnosed,16.8,15.9,17.7,Proportion,"16.8 (15.9, 17.7)",42186,,NA,Total,Odisha,East
22,htn_screened,60.9,59.2,62.6,Proportion,"60.9 (59.2, 62.6)",42178,,NA,Total,Chhattisgarh,Central
22,htn_diagnosed,10.9,10,11.7,Proportion,"10.9 (10, 11.7)",42178,,NA,Total,Chhattisgarh,Central
23,htn_screened,54.6,53.4,55.8,Proportion,"54.6 (53.4, 55.8)",67934,,NA,Total,Madhya Pradesh,Central
23,htn_diagnosed,11.2,10.6,11.7,Proportion,"11.2 (10.6, 11.7)",67934,,NA,Total,Madhya Pradesh,Central
24,htn_screened,60.8,59.1,62.6,Proportion,"60.8 (59.1, 62.6)",48032,,NA,Total,Gujarat,West
24,htn_diagnosed,14.1,13.4,14.9,Proportion,"14.1 (13.4, 14.9)",48032,,NA,Total,Gujarat,West
25,htn_screened,67.6,62.7,72.5,Proportion,"67.6 (62.7, 72.5)",3807,,NA,Total,Dadra & Nagar Haveli And Daman & Diu,West
25,htn_diagnosed,9.9,8.1,11.7,Proportion,"9.9 (8.1, 11.7)",3807,,NA,Total,Dadra & Nagar Haveli And Daman & Diu,West
27,htn_screened,66.2,64.6,67.7,Proportion,"66.2 (64.6, 67.7)",52418,,NA,Total,Maharashtra,West
27,htn_diagnosed,15,14.4,15.6,Proportion,"15 (14.4, 15.6)",52418,,NA,Total,Maharashtra,West
28,htn_screened,78.4,77,79.9,Proportion,"78.4 (77, 79.9)",15927,,NA,Total,Andhra Pradesh,South
28,htn_diagnosed,22.3,21.1,23.4,Proportion,"22.3 (21.1, 23.4)",15927,,NA,Total,Andhra Pradesh,South
29,htn_screened,66.4,64.5,68.4,Proportion,"66.4 (64.5, 68.4)",44144,,NA,Total,Karnataka,South
29,htn_diagnosed,17.7,16.8,18.7,Proportion,"17.7 (16.8, 18.7)",44144,,NA,Total,Karnataka,South
30,htn_screened,90.8,88.2,93.4,Proportion,"90.8 (88.2, 93.4)",2921,,NA,Total,Goa,West
30,htn_diagnosed,29.8,26.9,32.6,Proportion,"29.8 (26.9, 32.6)",2921,,NA,Total,Goa,West
31,htn_screened,96.2,94.9,97.6,Proportion,"96.2 (94.9, 97.6)",1903,,NA,Total,Lakshadweep,South
31,htn_diagnosed,19.6,16.4,22.8,Proportion,"19.6 (16.4, 22.8)",1903,,NA,Total,Lakshadweep,South
32,htn_screened,92.7,92.1,93.3,Proportion,"92.7 (92.1, 93.3)",19864,,NA,Total,Kerala,South
32,htn_diagnosed,32.9,31.8,34,Proportion,"32.9 (31.8, 34)",19864,,NA,Total,Kerala,South
33,htn_screened,84.8,83.9,85.7,Proportion,"84.8 (83.9, 85.7)",41420,,NA,Total,Tamil Nadu,South
33,htn_diagnosed,22.4,21.1,23.7,Proportion,"22.4 (21.1, 23.7)",41420,,NA,Total,Tamil Nadu,South
34,htn_screened,83.8,80.1,87.5,Proportion,"83.8 (80.1, 87.5)",6020,,NA,Total,Puducherry,South
