strata,variable,estimate,lci,uci,type,est_ci,n,stratification,residence
Female,htn_controlled,55.6,54.6,56.6,Proportion,"55.6 (54.6, 56.6)",58844,sex,NA
Male,htn_controlled,47.4,46,48.7,Proportion,"47.4 (46, 48.7)",39289,sex,NA
18-39,htn_controlled,61.3,59.7,62.8,Proportion,"61.3 (59.7, 62.8)",8492,age_category,NA
40-64,htn_controlled,43.7,43.1,44.4,Proportion,"43.7 (43.1, 44.4)",54829,age_category,NA
65 plus,htn_controlled,44.4,43.6,45.2,Proportion,"44.4 (43.6, 45.2)",34812,age_category,NA
Higher,htn_controlled,59.6,57.1,62.1,Proportion,"59.6 (57.1, 62.1)",9210,education,NA
No education,htn_controlled,47.4,46.2,48.6,Proportion,"47.4 (46.2, 48.6)",36254,education,NA
Primary,htn_controlled,50.8,49.1,52.5,Proportion,"50.8 (49.1, 52.5)",18008,education,NA
Secondary,htn_controlled,53.2,51.9,54.5,Proportion,"53.2 (51.9, 54.5)",34661,education,NA
General,htn_controlled,51.9,50.4,53.4,Proportion,"51.9 (50.4, 53.4)",34137,caste,NA
OBC,htn_controlled,53.6,52.4,54.9,Proportion,"53.6 (52.4, 54.9)",38058,caste,NA
Schedule Caste,htn_controlled,51.2,49.4,52.9,Proportion,"51.2 (49.4, 52.9)",15372,caste,NA
Schedule Tribe,htn_controlled,51.6,48.6,54.6,Proportion,"51.6 (48.6, 54.6)",10566,caste,NA
Hindu,htn_controlled,53.3,52.3,54.3,Proportion,"53.3 (52.3, 54.3)",72334,religion,NA
Muslim,htn_controlled,50.2,48.1,52.2,Proportion,"50.2 (48.1, 52.2)",13268,religion,NA
Other,htn_controlled,48.5,45.7,51.3,Proportion,"48.5 (45.7, 51.3)",12531,religion,NA
1,htn_controlled,54.7,52.6,56.6,Proportion,"54.7 (52.6, 56.6)",10289,wealthq_ur,NA
2,htn_controlled,51.5,49.7,53.3,Proportion,"51.5 (49.7, 53.3)",15492,wealthq_ur,NA
3,htn_controlled,52.3,50.5,54.1,Proportion,"52.3 (50.5, 54.1)",18973,wealthq_ur,NA
4,htn_controlled,53.2,51.4,54.9,Proportion,"53.2 (51.4, 54.9)",22724,wealthq_ur,NA
5,htn_controlled,51.9,50.2,53.5,Proportion,"51.9 (50.2, 53.5)",30655,wealthq_ur,NA
NA,htn_controlled,53.9,52.9,55,Proportion,"53.9 (52.9, 55)",62632,,Rural
NA,htn_controlled,50.4,49,51.9,Proportion,"50.4 (49, 51.9)",35501,,Urban
Female,htn_controlled,57.1,55.8,58.4,Proportion,"57.1 (55.8, 58.4)",37904,sex,Rural
Male,htn_controlled,48.1,46.5,49.8,Proportion,"48.1 (46.5, 49.8)",24728,sex,Rural
Female,htn_controlled,53.2,51.4,54.9,Proportion,"53.2 (51.4, 54.9)",20940,sex,Urban
Male,htn_controlled,46.4,44.1,48.7,Proportion,"46.4 (44.1, 48.7)",14561,sex,Urban
18-39,htn_controlled,63.4,61.5,65.1,Proportion,"63.4 (61.5, 65.1)",5979,age_category,Rural
40-64,htn_controlled,43,42.2,43.8,Proportion,"43 (42.2, 43.8)",34211,age_category,Rural
65 plus,htn_controlled,43.3,42.4,44.2,Proportion,"43.3 (42.4, 44.2)",22442,age_category,Rural
18-39,htn_controlled,57.6,54.6,60.5,Proportion,"57.6 (54.6, 60.5)",2513,age_category,Urban
40-64,htn_controlled,44.6,43.5,45.7,Proportion,"44.6 (43.5, 45.7)",20618,age_category,Urban
65 plus,htn_controlled,45.8,44.4,47.2,Proportion,"45.8 (44.4, 47.2)",12370,age_category,Urban
Higher,htn_controlled,63.6,59.9,67.2,Proportion,"63.6 (59.9, 67.2)",3284,education,Rural
No education,htn_controlled,48.5,47.1,49.8,Proportion,"48.5 (47.1, 49.8)",27865,education,Rural
Primary,htn_controlled,53.2,51,55.3,Proportion,"53.2 (51, 55.3)",12074,education,Rural
Secondary,htn_controlled,55.6,53.8,57.3,Proportion,"55.6 (53.8, 57.3)",19409,education,Rural
Higher,htn_controlled,57.1,53.5,60.5,Proportion,"57.1 (53.5, 60.5)",5926,education,Urban
No education,htn_controlled,44.5,42.1,47,Proportion,"44.5 (42.1, 47)",8389,education,Urban
Primary,htn_controlled,46.3,43.7,49,Proportion,"46.3 (43.7, 49)",5934,education,Urban
Secondary,htn_controlled,50.1,48,52.1,Proportion,"50.1 (48, 52.1)",15252,education,Urban
General,htn_controlled,52.7,50.7,54.6,Proportion,"52.7 (50.7, 54.6)",20238,caste,Rural
OBC,htn_controlled,55.5,54,57.1,Proportion,"55.5 (54, 57.1)",23813,caste,Rural
Schedule Caste,htn_controlled,53.2,51,55.3,Proportion,"53.2 (51, 55.3)",10500,caste,Rural
Schedule Tribe,htn_controlled,51.8,49.1,54.4,Proportion,"51.8 (49.1, 54.4)",8081,caste,Rural
General,htn_controlled,51,48.6,53.4,Proportion,"51 (48.6, 53.4)",13899,caste,Urban
OBC,htn_controlled,50.8,48.8,52.9,Proportion,"50.8 (48.8, 52.9)",14245,caste,Urban
Schedule Caste,htn_controlled,47.4,44.5,50.4,Proportion,"47.4 (44.5, 50.4)",4872,caste,Urban
Schedule Tribe,htn_controlled,51.2,42.1,60.2,Proportion,"51.2 (42.1, 60.2)",2485,caste,Urban
Hindu,htn_controlled,54.9,53.7,56.1,Proportion,"54.9 (53.7, 56.1)",46141,religion,Rural
Muslim,htn_controlled,51.9,49.2,54.6,Proportion,"51.9 (49.2, 54.6)",7920,religion,Rural
Other,htn_controlled,47,43.3,50.6,Proportion,"47 (43.3, 50.6)",8571,religion,Rural
Hindu,htn_controlled,50.8,49.1,52.6,Proportion,"50.8 (49.1, 52.6)",26193,religion,Urban
Muslim,htn_controlled,48,44.8,51.3,Proportion,"48 (44.8, 51.3)",5348,religion,Urban
Other,htn_controlled,50.7,46.4,55,Proportion,"50.7 (46.4, 55)",3960,religion,Urban
1,htn_controlled,58.4,55.7,61,Proportion,"58.4 (55.7, 61)",5664,wealthq_ur,Rural
2,htn_controlled,55.2,52.9,57.4,Proportion,"55.2 (52.9, 57.4)",9027,wealthq_ur,Rural
3,htn_controlled,53.8,51.5,56.2,Proportion,"53.8 (51.5, 56.2)",11608,wealthq_ur,Rural
4,htn_controlled,54.1,52,56.2,Proportion,"54.1 (52, 56.2)",14939,wealthq_ur,Rural
5,htn_controlled,52,50.1,53.9,Proportion,"52 (50.1, 53.9)",21394,wealthq_ur,Rural
1,htn_controlled,49.9,46.8,53.1,Proportion,"49.9 (46.8, 53.1)",4625,wealthq_ur,Urban
2,htn_controlled,47.3,44.6,50,Proportion,"47.3 (44.6, 50)",6465,wealthq_ur,Urban
3,htn_controlled,50.4,47.5,53.2,Proportion,"50.4 (47.5, 53.2)",7365,wealthq_ur,Urban
4,htn_controlled,51.7,48.7,54.7,Proportion,"51.7 (48.7, 54.7)",7785,wealthq_ur,Urban
5,htn_controlled,51.7,48.4,55,Proportion,"51.7 (48.4, 55)",9261,wealthq_ur,Urban
