state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,residence,n5_state,zone
1,htn_unscreened,19.7,18.2,21.2,Proportion,"19.7 (18.2, 21.2)",32598,,NA,Total,Jammu & Kashmir,North
1,htn_undiagnosed,77.3,76,78.7,Proportion,"77.3 (76, 78.7)",32598,,NA,Total,Jammu & Kashmir,North
2,htn_unscreened,20,18.7,21.4,Proportion,"20 (18.7, 21.4)",16496,,NA,Total,Himachal Pradesh,North
2,htn_undiagnosed,76.8,75.4,78.2,Proportion,"76.8 (75.4, 78.2)",16496,,NA,Total,Himachal Pradesh,North
3,htn_unscreened,16.3,15.3,17.4,Proportion,"16.3 (15.3, 17.4)",37702,,NA,Total,Punjab,North
3,htn_undiagnosed,72.6,71.5,73.8,Proportion,"72.6 (71.5, 73.8)",37702,,NA,Total,Punjab,North
4,htn_unscreened,14,9.2,18.7,Proportion,"14 (9.2, 18.7)",896,,NA,Total,Chandigarh,North
4,htn_undiagnosed,76.5,71,82.1,Proportion,"76.5 (71, 82.1)",896,,NA,Total,Chandigarh,North
5,htn_unscreened,26.6,25.1,28.2,Proportion,"26.6 (25.1, 28.2)",19184,,NA,Total,Uttarakhand,Central
5,htn_undiagnosed,81.6,80.4,82.8,Proportion,"81.6 (80.4, 82.8)",19184,,NA,Total,Uttarakhand,Central
6,htn_unscreened,24.1,23.2,25.1,Proportion,"24.1 (23.2, 25.1)",33422,,NA,Total,Haryana,North
6,htn_undiagnosed,79.6,78.6,80.7,Proportion,"79.6 (78.6, 80.7)",33422,,NA,Total,Haryana,North
7,htn_unscreened,18.2,16.8,19.5,Proportion,"18.2 (16.8, 19.5)",15025,,NA,Total,Nct Of Delhi,North
7,htn_undiagnosed,81.5,80.5,82.6,Proportion,"81.5 (80.5, 82.6)",15025,,NA,Total,Nct Of Delhi,North
8,htn_unscreened,41.6,40.3,42.9,Proportion,"41.6 (40.3, 42.9)",58123,,NA,Total,Rajasthan,North
8,htn_undiagnosed,86.1,85.2,87,Proportion,"86.1 (85.2, 87)",58123,,NA,Total,Rajasthan,North
9,htn_unscreened,34.9,34,35.7,Proportion,"34.9 (34, 35.7)",120522,,NA,Total,Uttar Pradesh,Central
9,htn_undiagnosed,83.4,82.7,84.1,Proportion,"83.4 (82.7, 84.1)",120522,,NA,Total,Uttar Pradesh,Central
10,htn_unscreened,32.3,31.3,33.3,Proportion,"32.3 (31.3, 33.3)",45939,,NA,Total,Bihar,East
10,htn_undiagnosed,73.9,72.6,75.2,Proportion,"73.9 (72.6, 75.2)",45939,,NA,Total,Bihar,East
11,htn_unscreened,23,20.1,26,Proportion,"23 (20.1, 26)",6168,,NA,Total,Sikkim,North East
11,htn_undiagnosed,78.4,76.1,80.7,Proportion,"78.4 (76.1, 80.7)",6168,,NA,Total,Sikkim,North East
12,htn_unscreened,36,34.1,37.9,Proportion,"36 (34.1, 37.9)",33516,,NA,Total,Arunachal Pradesh,North East
12,htn_undiagnosed,85,83.8,86.2,Proportion,"85 (83.8, 86.2)",33516,,NA,Total,Arunachal Pradesh,North East
13,htn_unscreened,39,36.2,41.9,Proportion,"39 (36.2, 41.9)",15649,,NA,Total,Nagaland,North East
13,htn_undiagnosed,81.3,79.6,83,Proportion,"81.3 (79.6, 83)",15649,,NA,Total,Nagaland,North East
14,htn_unscreened,13.8,12.7,14.9,Proportion,"13.8 (12.7, 14.9)",13593,,NA,Total,Manipur,North East
14,htn_undiagnosed,78,76.7,79.4,Proportion,"78 (76.7, 79.4)",13593,,NA,Total,Manipur,North East
15,htn_unscreened,17.3,15,19.6,Proportion,"17.3 (15, 19.6)",10343,,NA,Total,Mizoram,North East
15,htn_undiagnosed,79.6,77.6,81.7,Proportion,"79.6 (77.6, 81.7)",10343,,NA,Total,Mizoram,North East
16,htn_unscreened,24.3,21.8,26.8,Proportion,"24.3 (21.8, 26.8)",9509,,NA,Total,Tripura,North East
16,htn_undiagnosed,75.6,73.5,77.6,Proportion,"75.6 (73.5, 77.6)",9509,,NA,Total,Tripura,North East
17,htn_unscreened,45.3,41.8,48.7,Proportion,"45.3 (41.8, 48.7)",14931,,NA,Total,Meghalaya,North East
17,htn_undiagnosed,88.2,86.9,89.5,Proportion,"88.2 (86.9, 89.5)",14931,,NA,Total,Meghalaya,North East
18,htn_unscreened,28.6,27.4,29.8,Proportion,"28.6 (27.4, 29.8)",45823,,NA,Total,Assam,North East
18,htn_undiagnosed,80.8,80,81.6,Proportion,"80.8 (80, 81.6)",45823,,NA,Total,Assam,North East
19,htn_unscreened,32.1,30.4,33.8,Proportion,"32.1 (30.4, 33.8)",28265,,NA,Total,West Bengal,East
19,htn_undiagnosed,83.2,82.4,84.1,Proportion,"83.2 (82.4, 84.1)",28265,,NA,Total,West Bengal,East
20,htn_unscreened,41.1,39.5,42.7,Proportion,"41.1 (39.5, 42.7)",36044,,NA,Total,Jharkhand,East
20,htn_undiagnosed,84.3,83.1,85.6,Proportion,"84.3 (83.1, 85.6)",36044,,NA,Total,Jharkhand,East
21,htn_unscreened,47.3,46,48.5,Proportion,"47.3 (46, 48.5)",42186,,NA,Total,Odisha,East
21,htn_undiagnosed,83.2,82.3,84.1,Proportion,"83.2 (82.3, 84.1)",42186,,NA,Total,Odisha,East
22,htn_unscreened,39.1,37.4,40.8,Proportion,"39.1 (37.4, 40.8)",42178,,NA,Total,Chhattisgarh,Central
22,htn_undiagnosed,89.1,88.3,90,Proportion,"89.1 (88.3, 90)",42178,,NA,Total,Chhattisgarh,Central
23,htn_unscreened,45.4,44.2,46.6,Proportion,"45.4 (44.2, 46.6)",67934,,NA,Total,Madhya Pradesh,Central
23,htn_undiagnosed,88.8,88.3,89.4,Proportion,"88.8 (88.3, 89.4)",67934,,NA,Total,Madhya Pradesh,Central
24,htn_unscreened,39.2,37.4,40.9,Proportion,"39.2 (37.4, 40.9)",48032,,NA,Total,Gujarat,West
24,htn_undiagnosed,85.9,85.1,86.6,Proportion,"85.9 (85.1, 86.6)",48032,,NA,Total,Gujarat,West
25,htn_unscreened,32.4,27.5,37.3,Proportion,"32.4 (27.5, 37.3)",3807,,NA,Total,Dadra & Nagar Haveli And Daman & Diu,West
25,htn_undiagnosed,90.1,88.3,91.9,Proportion,"90.1 (88.3, 91.9)",3807,,NA,Total,Dadra & Nagar Haveli And Daman & Diu,West
27,htn_unscreened,33.8,32.3,35.4,Proportion,"33.8 (32.3, 35.4)",52418,,NA,Total,Maharashtra,West
27,htn_undiagnosed,85,84.4,85.6,Proportion,"85 (84.4, 85.6)",52418,,NA,Total,Maharashtra,West
28,htn_unscreened,21.6,20.1,23,Proportion,"21.6 (20.1, 23)",15927,,NA,Total,Andhra Pradesh,South
28,htn_undiagnosed,77.7,76.6,78.9,Proportion,"77.7 (76.6, 78.9)",15927,,NA,Total,Andhra Pradesh,South
29,htn_unscreened,33.6,31.6,35.5,Proportion,"33.6 (31.6, 35.5)",44144,,NA,Total,Karnataka,South
29,htn_undiagnosed,82.3,81.3,83.2,Proportion,"82.3 (81.3, 83.2)",44144,,NA,Total,Karnataka,South
30,htn_unscreened,9.2,6.6,11.8,Proportion,"9.2 (6.6, 11.8)",2921,,NA,Total,Goa,West
30,htn_undiagnosed,70.2,67.4,73.1,Proportion,"70.2 (67.4, 73.1)",2921,,NA,Total,Goa,West
31,htn_unscreened,3.8,2.4,5.1,Proportion,"3.8 (2.4, 5.1)",1903,,NA,Total,Lakshadweep,South
31,htn_undiagnosed,80.4,77.2,83.6,Proportion,"80.4 (77.2, 83.6)",1903,,NA,Total,Lakshadweep,South
32,htn_unscreened,7.3,6.7,7.9,Proportion,"7.3 (6.7, 7.9)",19864,,NA,Total,Kerala,South
32,htn_undiagnosed,67.1,66,68.2,Proportion,"67.1 (66, 68.2)",19864,,NA,Total,Kerala,South
33,htn_unscreened,15.2,14.3,16.1,Proportion,"15.2 (14.3, 16.1)",41420,,NA,Total,Tamil Nadu,South
33,htn_undiagnosed,77.6,76.3,78.9,Proportion,"77.6 (76.3, 78.9)",41420,,NA,Total,Tamil Nadu,South
34,htn_unscreened,16.2,12.5,19.9,Proportion,"16.2 (12.5, 19.9)",6020,,NA,Total,Puducherry,South
34,htn_undiagnosed,76.3,72.8,79.7,Proportion,"76.3 (72.8, 79.7)",6020,,NA,Total,Puducherry,South
35,htn_unscreened,11.7,9.8,13.6,Proportion,"11.7 (9.8, 13.6)",4474,,NA,Total,Andaman & Nicobar Islands,South
35,htn_undiagnosed,79.1,76.7,81.4,Proportion,"79.1 (76.7, 81.4)",4474,,NA,Total,Andaman & Nicobar Islands,South
36,htn_unscreened,18.8,17.6,20,Proportion,"18.8 (17.6, 20)",38563,,NA,Total,Telangana,South
36,htn_undiagnosed,77.8,77,78.6,Proportion,"77.8 (77, 78.6)",38563,,NA,Total,Telangana,South
37,htn_unscreened,18.5,15,22.1,Proportion,"18.5 (15, 22.1)",3359,,NA,Total,Ladakh,North
37,htn_undiagnosed,71.7,65.9,77.4,Proportion,"71.7 (65.9, 77.4)",3359,,NA,Total,Ladakh,North
1,htn_unscreened,15.5,14,16.9,Proportion,"15.5 (14, 16.9)",16027,sex,Female,Total,Jammu & Kashmir,North
1,htn_undiagnosed,74.3,72.8,75.9,Proportion,"74.3 (72.8, 75.9)",16027,sex,Female,Total,Jammu & Kashmir,North
1,htn_unscreened,23.8,22,25.5,Proportion,"23.8 (22, 25.5)",16571,sex,Male,Total,Jammu & Kashmir,North
1,htn_undiagnosed,80.3,78.9,81.7,Proportion,"80.3 (78.9, 81.7)",16571,sex,Male,Total,Jammu & Kashmir,North
