state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,residence,n5_state,zone
1,htn_screened,74,72.5,75.4,Proportion,"74 (72.5, 75.4)",54527,,NA,Total,Jammu & Kashmir,North
1,htn_disease,59.8,58.4,61.1,Proportion,"59.8 (58.4, 61.1)",54527,,NA,Total,Jammu & Kashmir,North
1,htn_diagnosed,13.5,12.8,14.3,Proportion,"13.5 (12.8, 14.3)",54527,,NA,Total,Jammu & Kashmir,North
1,htn_treated,8.9,8.4,9.5,Proportion,"8.9 (8.4, 9.5)",54527,,NA,Total,Jammu & Kashmir,North
1,htn_controlled,4.1,3.7,4.5,Proportion,"4.1 (3.7, 4.5)",54527,,NA,Total,Jammu & Kashmir,North
2,htn_screened,75.6,74.1,77,Proportion,"75.6 (74.1, 77)",27459,,NA,Total,Himachal Pradesh,North
2,htn_disease,60.7,59.4,62.1,Proportion,"60.7 (59.4, 62.1)",27459,,NA,Total,Himachal Pradesh,North
2,htn_diagnosed,14.1,13.2,14.9,Proportion,"14.1 (13.2, 14.9)",27459,,NA,Total,Himachal Pradesh,North
2,htn_treated,8.7,8.1,9.3,Proportion,"8.7 (8.1, 9.3)",27459,,NA,Total,Himachal Pradesh,North
2,htn_controlled,4.2,3.8,4.7,Proportion,"4.2 (3.8, 4.7)",27459,,NA,Total,Himachal Pradesh,North
3,htn_screened,80.4,79.3,81.4,Proportion,"80.4 (79.3, 81.4)",51932,,NA,Total,Punjab,North
3,htn_disease,72.8,72.1,73.6,Proportion,"72.8 (72.1, 73.6)",51932,,NA,Total,Punjab,North
3,htn_diagnosed,19.9,19,20.8,Proportion,"19.9 (19, 20.8)",51932,,NA,Total,Punjab,North
3,htn_treated,8.9,8.5,9.3,Proportion,"8.9 (8.5, 9.3)",51932,,NA,Total,Punjab,North
3,htn_controlled,3.2,2.9,3.4,Proportion,"3.2 (2.9, 3.4)",51932,,NA,Total,Punjab,North
4,htn_screened,80.6,75,86.3,Proportion,"80.6 (75, 86.3)",1418,,NA,Total,Chandigarh,North
4,htn_disease,62.8,58.5,67,Proportion,"62.8 (58.5, 67)",1418,,NA,Total,Chandigarh,North
4,htn_diagnosed,14.7,11.1,18.4,Proportion,"14.7 (11.1, 18.4)",1418,,NA,Total,Chandigarh,North
